GameID,Team,Goalie,PlayerID,DEC,GA,SA,SV,SV%,SO,PIM,TOI
202311090COL,COL,Ivan Prosvetov,prosviv01,L,4,22,18,81.80%,0,0,59.47
202311110COL,STL,Jordan Binnington,binnijo01,W,2,38,36,94.70%,0,0,60
202311110COL,COL,Alexandar Georgiev,georgal01,L,6,28,22,78.60%,0,0,42.82
202311110COL,COL,Ivan Prosvetov,prosviv01,--,2,14,12,85.70%,0,0,17.18
202311150COL,ANA,Lukáš Dostál,dostalu01,L,8,38,30,78.90%,0,0,60
202311150COL,COL,Alexandar Georgiev,georgal01,W,2,17,15,88.20%,0,0,59.88
202311220COL,VAN,Thatcher Demko,demkoth01,L,4,24,20,83.30%,0,0,59.42
202311220COL,VAN,Empty Net,,--,1,1,0,0.00%,0,0,0
202311220COL,COL,Alexandar Georgiev,georgal01,W,2,29,27,93.10%,0,0,60
202311250COL,CGY,Daniel Vladař,vladada01,L,3,24,21,87.50%,0,0,57.98
202311250COL,COL,Ivan Prosvetov,prosviv01,W,1,30,29,96.70%,0,0,59.35
202311270COL,TBL,Andrei Vasilevskiy,vasilan02,L,3,22,19,86.40%,0,0,58.53
202311270COL,TBL,Empty Net,,--,1,1,0,0.00%,0,0,0
202311270COL,COL,Alexandar Georgiev,georgal01,W,1,39,38,97.40%,0,0,59.92
202312050COL,ANA,John Gibson,gibsojo02,L,3,30,27,90.00%,0,0,59.07
202312050COL,COL,Alexandar Georgiev,georgal01,W,2,33,31,93.90%,0,0,60
202312070COL,WPG,Connor Hellebuyck,helleco01,W,2,34,32,94.10%,0,0,60
202312070COL,COL,Alexandar Georgiev,georgal01,L,3,27,24,88.90%,0,0,58.93
202312070COL,COL,Empty Net,,--,1,1,0,0.00%,0,0,0
202312090COL,PHI,Carter Hart,hartca01,W,2,38,36,94.70%,0,0,60
202312090COL,COL,Ivan Prosvetov,prosviv01,L,5,34,29,85.30%,0,0,60
202312110COL,CGY,Daniel Vladař,vladada01,L,6,38,32,84.20%,0,0,58.35
202312110COL,COL,Alexandar Georgiev,georgal01,--,5,21,16,76.20%,0,2,40
202312110COL,COL,Ivan Prosvetov,prosviv01,W,0,11,11,100.00%,0,0,20
202312130COL,BUF,Ukko-Pekka Luukkonen,luukkuk01,L,5,29,24,82.80%,0,0,60
202312130COL,COL,Ivan Prosvetov,prosviv01,W,1,30,29,96.70%,0,0,60
202312170COL,SJS,Mackenzie Blackwood,blackma01,L,5,28,23,82.10%,0,0,59.68
202312170COL,SJS,Empty Net,,--,1,1,0,0.00%,0,0,0
202312170COL,COL,Alexandar Georgiev,georgal01,W,2,27,25,92.60%,0,0,60
202312210COL,OTT,Joonas Korpisalo,korpijo01,L,5,38,33,86.80%,0,0,59.38
202312210COL,OTT,Empty Net,,--,1,1,0,0.00%,0,0,0
202312210COL,COL,Alexandar Georgiev,georgal01,W,4,45,41,91.10%,0,0,59.37
202312230COL,ARI,Connor Ingram,ingraco01,L,4,26,22,84.60%,0,0,60
202312230COL,COL,Alexandar Georgiev,georgal01,W,1,25,24,96.00%,0,0,60
202312310COL,SJS,Kaapo Kähkönen,kahkoka01,L,2,32,30,93.80%,0,0,58.92
202312310COL,SJS,Empty Net,,--,1,1,0,0.00%,0,0,0
202312310COL,COL,Alexandar Georgiev,georgal01,W,1,11,10,90.90%,0,0,59.8
202401020COL,NYI,Semyon Varlamov,varlasi01,--,1,12,11,91.70%,0,0,14.87
202401020COL,NYI,Ilya Sorokin,sorokil01,O,4,27,23,85.20%,0,0,45.67
202401020COL,COL,Alexandar Georgiev,georgal01,W,4,22,18,81.80%,0,0,60.47
202401060COL,FLA,Sergei Bobrovsky,bobrose01,W,4,26,22,84.60%,0,0,59.7
202401060COL,COL,Ivan Prosvetov,prosviv01,--,4,13,9,69.20%,0,0,28.83
202401060COL,COL,Alexandar Georgiev,georgal01,L,3,15,12,80.00%,0,0,30.92
202401060COL,COL,Empty Net,,--,1,1,0,0.00%,0,0,0
202401080COL,BOS,Jeremy Swayman,swaymje01,O,3,36,33,91.70%,0,0,65
202401080COL,COL,Alexandar Georgiev,georgal01,W,3,26,23,88.50%,0,0,65
202401100COL,VEG,Jiří Patera,paterji01,L,3,35,32,91.40%,0,0,60
202401100COL,COL,Alexandar Georgiev,georgal01,W,0,25,25,100.00%,1,0,60
202401240COL,WSH,Charlie Lindgren,lindgch01,L,6,31,25,80.60%,0,0,59.83
202401240COL,COL,Alexandar Georgiev,georgal01,W,2,25,23,92.00%,0,0,60
202401260COL,LAK,Cam Talbot,talboca01,L,3,12,9,75.00%,0,0,20
202401260COL,LAK,David Rittich,rittida01,--,2,19,17,89.50%,0,0,40
202401260COL,COL,Alexandar Georgiev,georgal01,W,1,27,26,96.30%,0,0,59.5
202402180COL,ARI,Karel Vejmelka,vejmeka01,L,4,37,33,89.20%,0,0,58.05
202402180COL,COL,Alexandar Georgiev,georgal01,W,3,30,27,90.00%,0,0,60
202402200COL,VAN,Thatcher Demko,demkoth01,L,2,26,24,92.30%,0,0,59.28
202402200COL,VAN,Empty Net,,--,1,1,0,0.00%,0,0,0
202402200COL,COL,Alexandar Georgiev,georgal01,W,1,25,24,96.00%,0,0,59.78
202402240COL,TOR,Ilya Samsonov,samsoil01,W,3,29,26,89.70%,0,0,60
202402240COL,COL,Alexandar Georgiev,georgal01,L,4,30,26,86.70%,0,0,58.22
202402270COL,DAL,Jake Oettinger,oettija01,L,5,27,22,81.50%,0,0,60
202402270COL,COL,Alexandar Georgiev,georgal01,W,1,34,33,97.10%,0,0,60
202403040COL,CHI,Petr Mrázek,mrazepe01,L,5,37,32,86.50%,0,0,59.82
202403040COL,COL,Justus Annunen,annunju01,W,0,37,37,100.00%,1,0,59.92
202403060COL,DET,Alex Lyon,lyonal01,L,5,40,35,87.50%,0,0,40
202403060COL,DET,James Reimer,reimeja01,--,2,14,12,85.70%,0,0,20
202403060COL,COL,Alexandar Georgiev,georgal01,W,2,29,27,93.10%,0,0,60
202403080COL,MIN,Filip Gustavsson,gustafi01,O,2,40,38,95.00%,0,0,62.53
202403080COL,COL,Alexandar Georgiev,georgal01,W,1,30,29,96.70%,0,0,62.53
202403220COL,CBJ,Elvis Merzļikins,merzlel01,L,6,50,44,88.00%,0,0,60
202403220COL,COL,Alexandar Georgiev,georgal01,W,1,24,23,95.80%,0,0,60
202403240COL,PIT,Alex Nedeljkovic,nedelal01,O,4,25,21,84.00%,0,0,50.77
202403240COL,PIT,Tristan Jarry,jarrytr01,--,1,5,4,80.00%,0,0,10.08
202403240COL,COL,Alexandar Georgiev,georgal01,W,4,34,30,88.20%,0,0,60.9
202403260COL,MTL,Sam Montembeault,montesa01,W,1,28,27,96.40%,0,0,60
202403260COL,COL,Justus Annunen,annunju01,L,2,27,25,92.60%,0,0,59.32
202403280COL,NYR,Igor Shesterkin,shestig01,W,2,40,38,95.00%,0,0,64.85
202403280COL,COL,Alexandar Georgiev,georgal01,O,2,25,23,92.00%,0,0,65
202403300COL,NSH,Kevin Lankinen,lankike01,L,6,41,35,85.40%,0,0,59.52
202403300COL,NSH,Empty Net,,--,1,1,0,0.00%,0,0,0
202403300COL,COL,Alexandar Georgiev,georgal01,--,4,13,9,69.20%,0,2,20.73
202403300COL,COL,Justus Annunen,annunju01,W,0,22,22,100.00%,0,0,39
202404070COL,DAL,Jake Oettinger,oettija01,W,4,38,34,89.50%,0,0,60
202404070COL,COL,Alexandar Georgiev,georgal01,L,6,36,30,83.30%,0,0,56.75
202404070COL,COL,Empty Net,,--,1,1,0,0.00%,0,0,0
202404090COL,MIN,Filip Gustavsson,gustafi01,L,5,32,27,84.40%,0,0,59.08
202404090COL,COL,Alexandar Georgiev,georgal01,W,2,22,20,90.90%,0,0,60
202404130COL,WPG,Connor Hellebuyck,helleco01,W,0,30,30,100.00%,1,0,60
202404130COL,COL,Alexandar Georgiev,georgal01,L,4,15,11,73.30%,0,0,15.28
202404130COL,COL,Justus Annunen,annunju01,--,3,11,8,72.70%,0,0,44.72
202404180COL,EDM,Stuart Skinner,skinnst01,L,4,13,9,69.20%,0,0,20
202404180COL,EDM,Calvin Pickard,pickaca01,--,1,14,13,92.90%,0,0,40
202404180COL,COL,Justus Annunen,annunju01,W,1,26,25,96.20%,0,0,60
202310120DAL,STL,Jordan Binnington,binnijo01,O,1,34,33,97.10%,0,0,64.83
202310120DAL,DAL,Jake Oettinger,oettija01,W,1,24,23,95.80%,0,0,65
202310210DAL,PHI,Samuel Ersson,erssosa01,O,5,25,20,80.00%,0,0,62.22
202310210DAL,DAL,Scott Wedgewood,wedgesc01,W,4,40,36,90.00%,0,0,62.22
202310260DAL,TOR,Joseph Woll,wolljo01,W,1,32,31,96.90%,0,0,59.93
202310260DAL,DAL,Scott Wedgewood,wedgesc01,L,3,23,20,87.00%,0,0,56.38
202310260DAL,DAL,Empty Net,,--,1,1,0,0.00%,0,0,0
202310300DAL,CBJ,Elvis Merzļikins,merzlel01,L,4,32,28,87.50%,0,0,57.22
202310300DAL,CBJ,Empty Net,,--,1,1,0,0.00%,0,0,0
202310300DAL,DAL,Jake Oettinger,oettija01,W,3,25,22,88.00%,0,0,59.57
202311060DAL,BOS,Jeremy Swayman,swaymje01,W,2,37,35,94.60%,0,0,59.52
202311060DAL,DAL,Jake Oettinger,oettija01,L,3,29,26,89.70%,0,0,57.5
202311140DAL,ARI,Karel Vejmelka,vejmeka01,O,4,36,32,88.90%,0,0,60.7
202311140DAL,DAL,Jake Oettinger,oettija01,W,3,26,23,88.50%,0,0,60.7
202311180DAL,COL,Alexandar Georgiev,georgal01,W,3,28,25,89.30%,0,0,60
202311180DAL,DAL,Jake Oettinger,oettija01,L,5,37,32,86.50%,0,0,57.4
202311180DAL,DAL,Empty Net,,--,1,1,0,0.00%,0,0,0
202311200DAL,NYR,Igor Shesterkin,shestig01,L,4,34,30,88.20%,0,0,58.95
202311200DAL,NYR,Empty Net,,--,2,2,0,0.00%,0,0,0
202311200DAL,DAL,Scott Wedgewood,wedgesc01,W,3,33,30,90.90%,0,0,59.8
202311220DAL,VEG,Adin Hill,hillad01,W,1,32,31,96.90%,0,0,61.95
202311220DAL,DAL,Jake Oettinger,oettija01,O,2,26,24,92.30%,0,0,61.95
202311240DAL,CGY,Jacob Markström,marksja02,W,4,28,24,85.70%,0,0,60
202311240DAL,DAL,Jake Oettinger,oettija01,L,6,26,20,76.90%,0,0,58.3
202311240DAL,DAL,Empty Net,,--,1,1,0,0.00%,0,0,0
202312020DAL,TBL,Andrei Vasilevskiy,vasilan02,L,6,25,19,76.00%,0,0,40
202312020DAL,TBL,Jonas Johansson,johanjo03,--,2,9,7,77.80%,0,0,20
202312020DAL,DAL,Jake Oettinger,oettija01,W,1,33,32,97.00%,0,0,60
202312090DAL,VEG,Logan Thompson,thomplo01,W,1,20,19,95.00%,0,0,59.35
202312090DAL,DAL,Jake Oettinger,oettija01,L,6,27,21,77.80%,0,0,60
202312110DAL,DET,James Reimer,reimeja01,L,5,34,29,85.30%,0,0,58.15
202312110DAL,DET,Empty Net,,--,1,1,0,0.00%,0,0,0
202312110DAL,DAL,Jake Oettinger,oettija01,W,3,30,27,90.00%,0,0,59.75
202312150DAL,OTT,Anton Forsberg,forsban01,L,5,24,19,79.20%,0,0,58.55
202312150DAL,DAL,Jake Oettinger,oettija01,--,2,2,0,0.00%,0,0,8.05
202312150DAL,DAL,Scott Wedgewood,wedgesc01,W,2,27,25,92.60%,0,0,51.95
202312180DAL,SEA,Joey Daccord,daccojo01,O,4,28,24,85.70%,0,0,61.5
202312180DAL,DAL,Scott Wedgewood,wedgesc01,W,3,38,35,92.10%,0,0,61.08
202312210DAL,VAN,Thatcher Demko,demkoth01,O,4,36,32,88.90%,0,0,64.83
202312210DAL,DAL,Scott Wedgewood,wedgesc01,W,3,20,17,85.00%,0,0,64.83
202312290DAL,CHI,Petr Mrázek,mrazepe01,O,5,35,30,85.70%,0,0,64.87
202312290DAL,DAL,Scott Wedgewood,wedgesc01,W,4,29,25,86.20%,0,0,64.87
202312310DAL,CHI,Petr Mrázek,mrazepe01,L,6,31,25,80.60%,0,0,44.77
202312310DAL,CHI,Arvid Söderblom,soderar01,--,2,10,8,80.00%,0,0,15.23
202312310DAL,DAL,Scott Wedgewood,wedgesc01,W,1,24,23,95.80%,0,0,60
202401020DAL,MTL,Sam Montembeault,montesa01,W,3,33,30,90.90%,0,0,60
202401020DAL,DAL,Scott Wedgewood,wedgesc01,L,4,18,14,77.80%,0,0,53.97
202401040DAL,COL,Alexandar Georgiev,georgal01,W,4,32,28,87.50%,0,0,62.28
202401040DAL,DAL,Scott Wedgewood,wedgesc01,O,5,34,29,85.30%,0,0,63.67
202401060DAL,NSH,Kevin Lankinen,lankike01,W,3,29,26,89.70%,0,0,60
202401060DAL,DAL,Scott Wedgewood,wedgesc01,L,4,22,18,81.80%,0,0,58.02
202401100DAL,MIN,Jesper Wallstedt,wallsje01,L,7,34,27,79.40%,0,0,60
202401100DAL,DAL,Scott Wedgewood,wedgesc01,W,2,23,21,91.30%,0,0,58.55
202401120DAL,NSH,Kevin Lankinen,lankike01,W,3,22,19,86.40%,0,0,60
202401120DAL,DAL,Jake Oettinger,oettija01,L,4,36,32,88.90%,0,0,58.43
202401120DAL,DAL,Empty Net,,--,2,2,0,0.00%,0,0,0
202401160DAL,LAK,Cam Talbot,talboca01,L,5,28,23,82.10%,0,0,59.85
202401160DAL,DAL,Jake Oettinger,oettija01,W,1,32,31,96.90%,0,0,60
202401250DAL,ANA,John Gibson,gibsojo02,O,4,44,40,90.90%,0,0,60.63
202401250DAL,DAL,Jake Oettinger,oettija01,W,3,21,18,85.70%,0,0,60.63
202401270DAL,WSH,Charlie Lindgren,lindgch01,O,5,35,30,85.70%,0,0,62.02
202401270DAL,DAL,Jake Oettinger,oettija01,W,4,28,24,85.70%,0,0,63.23
202402130DAL,CAR,Pyotr Kochetkov,kochepy01,L,3,22,19,86.40%,0,0,57.6
202402130DAL,CAR,Empty Net,,--,1,1,0,0.00%,0,0,0
202402130DAL,DAL,Jake Oettinger,oettija01,W,2,34,32,94.10%,0,0,60
202402170DAL,EDM,Calvin Pickard,pickaca01,W,3,27,24,88.90%,0,0,60.17
202402170DAL,DAL,Jake Oettinger,oettija01,O,4,24,20,83.30%,0,0,60.5
202402260DAL,NYI,Ilya Sorokin,sorokil01,W,2,32,30,93.80%,0,0,62.9
202402260DAL,DAL,Scott Wedgewood,wedgesc01,O,3,28,25,89.30%,0,0,62.9
202402290DAL,WPG,Connor Hellebuyck,helleco01,L,3,35,32,91.40%,0,0,58.63
202402290DAL,WPG,Empty Net,,--,1,1,0,0.00%,0,0,0
202402290DAL,DAL,Jake Oettinger,oettija01,W,1,26,25,96.20%,0,0,60
202403020DAL,SJS,Magnus Chrona,chronma01,O,2,38,36,94.70%,0,0,64.93
202403020DAL,DAL,Jake Oettinger,oettija01,W,2,23,21,91.30%,0,0,64.92
202403120DAL,FLA,Sergei Bobrovsky,bobrose01,W,3,30,27,90.00%,0,0,60
202403120DAL,DAL,Jake Oettinger,oettija01,L,4,30,26,86.70%,0,0,57.32
202403140DAL,NJD,Jake Allen,allenja01,W,2,37,35,94.60%,0,0,60
202403140DAL,DAL,Jake Oettinger,oettija01,L,4,10,6,60.00%,0,0,23.87
202403140DAL,DAL,Scott Wedgewood,wedgesc01,--,2,10,8,80.00%,0,0,36.13
202403160DAL,LAK,David Rittich,rittida01,L,4,29,25,86.20%,0,0,60
202403160DAL,DAL,Scott Wedgewood,wedgesc01,W,1,28,27,96.40%,0,0,59.7
202403200DAL,ARI,Connor Ingram,ingraco01,L,5,33,28,84.80%,0,0,60
202403200DAL,DAL,Jake Oettinger,oettija01,W,2,25,23,92.00%,0,0,59.58
202403220DAL,PIT,Tristan Jarry,jarrytr01,L,4,20,16,80.00%,0,0,44.62
202403220DAL,PIT,Alex Nedeljkovic,nedelal01,--,0,3,3,100.00%,0,0,12.92
202403220DAL,DAL,Jake Oettinger,oettija01,W,2,22,20,90.90%,0,0,59.92
202404030DAL,EDM,Calvin Pickard,pickaca01,L,5,32,27,84.40%,0,0,59.82
202404030DAL,DAL,Jake Oettinger,oettija01,W,0,35,35,100.00%,1,0,59.42
202404090DAL,BUF,Ukko-Pekka Luukkonen,luukkuk01,L,3,24,21,87.50%,0,0,58.03
202404090DAL,DAL,Jake Oettinger,oettija01,W,2,21,19,90.50%,0,0,60
202404110DAL,WPG,Laurent Brossoit,brossla01,W,0,24,24,100.00%,1,0,60
202404110DAL,DAL,Jake Oettinger,oettija01,L,2,23,21,91.30%,0,0,58.9
202404110DAL,DAL,Empty Net,,--,1,1,0,0.00%,0,0,0
202404130DAL,SEA,Philipp Grubauer,grubaph01,L,3,30,27,90.00%,0,0,58.85
202404130DAL,DAL,Jake Oettinger,oettija01,W,1,27,26,96.30%,0,0,59.83
202404170DAL,STL,Jordan Binnington,binnijo01,O,1,37,36,97.30%,0,0,65
202404170DAL,DAL,Jake Oettinger,oettija01,W,1,26,25,96.20%,0,0,65
202310140DET,TBL,Jonas Johansson,johanjo03,L,5,41,36,87.80%,0,0,57.5
202310140DET,TBL,Empty Net,,--,1,1,0,0.00%,0,0,0
202310140DET,DET,Ville Husso,hussovi01,W,4,25,21,84.00%,0,0,60
202310180DET,PIT,Tristan Jarry,jarrytr01,L,4,27,23,85.20%,0,0,59.42
202310180DET,PIT,Empty Net,,--,2,2,0,0.00%,0,0,0
202310180DET,DET,Ville Husso,hussovi01,W,3,33,30,90.90%,0,0,60
202310220DET,CGY,Daniel Vladař,vladada01,L,6,30,24,80.00%,0,0,59.85
202310220DET,DET,James Reimer,reimeja01,W,2,31,29,93.50%,0,2,60
202310240DET,SEA,Joey Daccord,daccojo01,W,4,27,23,85.20%,0,0,64.6
202310240DET,DET,Ville Husso,hussovi01,O,5,38,33,86.80%,0,0,64.92
202310260DET,WPG,Connor Hellebuyck,helleco01,W,1,36,35,97.20%,0,0,60
202310260DET,DET,James Reimer,reimeja01,L,3,28,25,89.30%,0,0,58.83
202310260DET,DET,Empty Net,,--,1,1,0,0.00%,0,0,0
202311020DET,FLA,Sergei Bobrovsky,bobrose01,W,0,22,22,100.00%,1,0,59.82
202311020DET,DET,James Reimer,reimeja01,L,1,26,25,96.20%,0,0,58.07
202311020DET,DET,Empty Net,,--,1,1,0,0.00%,0,0,0
202311040DET,BOS,Linus Ullmark,ullmali01,L,5,40,35,87.50%,0,0,59.8
202311040DET,DET,Ville Husso,hussovi01,W,4,30,26,86.70%,0,0,59.95
202311090DET,MTL,Cayden Primeau,primeca01,W,2,29,27,93.10%,0,0,64.27
202311090DET,DET,James Reimer,reimeja01,O,3,27,24,88.90%,0,2,63.33
202311110DET,CBJ,Spencer Martin,martisp01,L,5,28,23,82.10%,0,0,57.98
202311110DET,DET,Ville Husso,hussovi01,W,4,22,18,81.80%,0,0,60
202311170DET,TOR,Ilya Samsonov,samsoil01,W,2,29,27,93.10%,0,0,59.93
202311170DET,DET,Alex Lyon,lyonal01,L,3,29,26,89.70%,0,0,58.47
202311220DET,NJD,Vítek Vaněček,vanecvi01,L,4,28,24,85.70%,0,0,59.52
202311220DET,DET,Alex Lyon,lyonal01,W,0,16,16,100.00%,1,0,59.53
202311260DET,MIN,Filip Gustavsson,gustafi01,L,3,22,19,86.40%,0,0,58.5
202311260DET,MIN,Empty Net,,--,1,1,0,0.00%,0,0,0
202311260DET,DET,Alex Lyon,lyonal01,W,1,38,37,97.40%,0,0,60
202311300DET,CHI,Petr Mrázek,mrazepe01,L,5,29,24,82.80%,0,0,59.7
202311300DET,DET,Alex Lyon,lyonal01,W,1,35,34,97.10%,0,0,60
202312070DET,SJS,Mackenzie Blackwood,blackma01,--,4,20,16,80.00%,0,0,33.67
202312070DET,SJS,Kaapo Kähkönen,kahkoka01,W,1,11,10,90.90%,0,0,25.53
202312070DET,DET,Ville Husso,hussovi01,O,6,36,30,83.30%,0,0,60.62
202312090DET,OTT,Joonas Korpisalo,korpijo01,W,1,31,30,96.80%,0,0,60
202312090DET,DET,Alex Lyon,lyonal01,L,4,25,21,84.00%,0,0,40
202312090DET,DET,James Reimer,reimeja01,--,0,11,11,100.00%,0,0,19.37
202312090DET,DET,Empty Net,,--,1,1,0,0.00%,0,0,0
202312140DET,CAR,Pyotr Kochetkov,kochepy01,W,1,26,25,96.20%,0,0,60
202312140DET,DET,Ville Husso,hussovi01,L,2,39,37,94.90%,0,0,58.87
202312180DET,ANA,Lukáš Dostál,dostalu01,W,3,32,29,90.60%,0,2,60
202312180DET,DET,Ville Husso,hussovi01,--,2,8,6,75.00%,0,0,17.38
202312180DET,DET,James Reimer,reimeja01,L,2,14,12,85.70%,0,0,39.98
202312220DET,PHI,Carter Hart,hartca01,O,6,37,31,83.80%,0,0,65
202312220DET,DET,James Reimer,reimeja01,W,6,43,37,86.00%,0,0,65
202312290DET,NSH,Juuse Saros,sarosju01,O,5,23,18,78.30%,0,0,62.22
202312290DET,DET,Alex Lyon,lyonal01,W,4,37,33,89.20%,0,0,62.22
202312310DET,BOS,Jeremy Swayman,swaymje01,W,3,30,27,90.00%,0,0,60
202312310DET,DET,Alex Lyon,lyonal01,L,3,22,19,86.40%,0,0,57.8
202312310DET,DET,Empty Net,,--,2,2,0,0.00%,0,0,0
202401110DET,EDM,Calvin Pickard,pickaca01,W,2,18,16,88.90%,0,0,61.33
202401110DET,DET,Alex Lyon,lyonal01,O,3,47,44,93.60%,0,0,61.33
202401130DET,LAK,Cam Talbot,talboca01,L,5,27,22,81.50%,0,0,39.9
202401130DET,LAK,David Rittich,rittida01,--,0,3,3,100.00%,0,0,16.45
202401130DET,DET,Alex Lyon,lyonal01,W,3,36,33,91.70%,0,0,59.88
202401210DET,TBL,Andrei Vasilevskiy,vasilan02,L,2,35,33,94.30%,0,0,55.75
202401210DET,DET,Alex Lyon,lyonal01,W,1,28,27,96.40%,0,0,60
202401230DET,DAL,Jake Oettinger,oettija01,W,4,34,30,88.20%,0,0,60
202401230DET,DET,Alex Lyon,lyonal01,L,5,32,27,84.40%,0,0,40
202401230DET,DET,James Reimer,reimeja01,--,0,6,6,100.00%,0,0,17.63
202401250DET,PHI,Samuel Ersson,erssosa01,L,3,17,14,82.40%,0,0,60
202401250DET,DET,Alex Lyon,lyonal01,W,0,30,30,100.00%,1,0,59.57
202401270DET,VEG,Logan Thompson,thomplo01,L,4,28,24,85.70%,0,0,58.47
202401270DET,VEG,Empty Net,,--,1,1,0,0.00%,0,0,0
202401270DET,DET,Alex Lyon,lyonal01,W,2,30,28,93.30%,0,2,59.73
202401310DET,OTT,Joonas Korpisalo,korpijo01,W,2,25,23,92.00%,0,0,62.08
202401310DET,DET,Alex Lyon,lyonal01,O,3,25,22,88.00%,0,0,62.08
202402100DET,VAN,Casey DeSmith,desmica01,O,4,28,24,85.70%,0,0,60.3
202402100DET,DET,Alex Lyon,lyonal01,W,3,31,28,90.30%,0,0,60.38
202402220DET,COL,Justus Annunen,annunju01,O,2,30,28,93.30%,0,0,63.7
202402220DET,DET,Alex Lyon,lyonal01,W,1,31,30,96.80%,0,0,63.7
202402240DET,STL,Jordan Binnington,binnijo01,L,4,14,10,71.40%,0,2,19.87
202402240DET,STL,Joel Hofer,hoferjo01,--,2,20,18,90.00%,0,0,40
202402240DET,DET,Alex Lyon,lyonal01,W,1,23,22,95.70%,0,0,59.93
202402270DET,WSH,Charlie Lindgren,lindgch01,L,8,31,23,74.20%,0,0,59.78
202402270DET,DET,Alex Lyon,lyonal01,W,3,21,18,85.70%,0,0,59.1
202402290DET,NYI,Ilya Sorokin,sorokil01,W,3,25,22,88.00%,0,0,60
202402290DET,DET,Alex Lyon,lyonal01,L,4,26,22,84.60%,0,0,58.97
202402290DET,DET,Empty Net,,--,1,1,0,0.00%,0,0,0
202403020DET,FLA,Sergei Bobrovsky,bobrose01,W,0,21,21,100.00%,1,0,59.62
202403020DET,DET,Alex Lyon,lyonal01,L,4,37,33,89.20%,0,0,60
202403140DET,ARI,Connor Ingram,ingraco01,W,1,29,28,96.60%,0,0,60
202403140DET,DET,Alex Lyon,lyonal01,L,3,26,23,88.50%,0,0,59.48
202403140DET,DET,Empty Net,,--,1,1,0,0.00%,0,0,0
202403160DET,BUF,Ukko-Pekka Luukkonen,luukkuk01,L,3,25,22,88.00%,0,0,57.22
202403160DET,BUF,Empty Net,,--,1,1,0,0.00%,0,0,0
202403160DET,DET,James Reimer,reimeja01,W,1,26,25,96.20%,0,0,59.53
202403190DET,CBJ,Daniil Tarasov,tarasda02,O,4,26,22,84.60%,0,0,60.8
202403190DET,DET,James Reimer,reimeja01,W,3,35,32,91.40%,0,0,59.55
202403210DET,NYI,Ilya Sorokin,sorokil01,L,5,23,18,78.30%,0,0,58.57
202403210DET,NYI,Empty Net,,--,1,1,0,0.00%,0,0,0
202403210DET,DET,James Reimer,reimeja01,W,3,36,33,91.70%,0,0,60
202404050DET,NYR,Jonathan Quick,quickjo01,W,3,34,31,91.20%,0,0,59.62
202404050DET,DET,Alex Lyon,lyonal01,L,4,38,34,89.50%,0,0,57.47
202404070DET,BUF,Ukko-Pekka Luukkonen,luukkuk01,L,3,24,21,87.50%,0,0,56.93
202404070DET,DET,Alex Lyon,lyonal01,W,1,38,37,97.40%,0,0,60
202404090DET,WSH,Charlie Lindgren,lindgch01,W,1,43,42,97.70%,0,0,60
202404090DET,DET,Alex Lyon,lyonal01,L,2,23,21,91.30%,0,0,56.65
202404150DET,MTL,Sam Montembeault,montesa01,O,5,35,30,85.70%,0,0,64.58
202404150DET,DET,Alex Lyon,lyonal01,W,4,21,17,81.00%,0,0,63.53
202310140EDM,VAN,Casey DeSmith,desmica01,W,3,40,37,92.50%,0,0,60
202310140EDM,EDM,Stuart Skinner,skinnst01,L,4,16,12,75.00%,0,0,57.63
202310210EDM,WPG,Connor Hellebuyck,helleco01,W,2,40,38,95.00%,0,0,63.88
202310210EDM,EDM,Stuart Skinner,skinnst01,O,3,27,24,88.90%,0,0,63.73
202310260EDM,NYR,Jonathan Quick,quickjo01,W,0,29,29,100.00%,1,0,59.75
202310260EDM,EDM,Stuart Skinner,skinnst01,L,3,32,29,90.60%,0,0,60
202310290EDM,CGY,Jacob Markström,marksja02,L,4,32,28,87.50%,0,0,58.05
202310290EDM,CGY,Empty Net,,--,1,1,0,0.00%,0,0,0
202310290EDM,EDM,Stuart Skinner,skinnst01,W,2,26,24,92.30%,0,0,59.75
202311020EDM,DAL,Scott Wedgewood,wedgesc01,W,3,49,46,93.90%,0,0,59.93
202311020EDM,EDM,Stuart Skinner,skinnst01,L,4,27,23,85.20%,0,0,57.83
202311040EDM,NSH,Kevin Lankinen,lankike01,W,2,35,33,94.30%,0,0,60
202311040EDM,EDM,Jack Campbell,campbja01,L,5,34,29,85.30%,0,0,60
202311130EDM,NYI,Ilya Sorokin,sorokil01,L,3,31,28,90.30%,0,0,59.8
202311130EDM,NYI,Empty Net,,--,1,1,0,0.00%,0,0,0
202311130EDM,EDM,Stuart Skinner,skinnst01,W,1,33,32,97.00%,0,0,60
202311150EDM,SEA,Joey Daccord,daccojo01,O,4,31,27,87.10%,0,0,62.3
202311150EDM,EDM,Stuart Skinner,skinnst01,W,3,35,32,91.40%,0,0,61.75
202311260EDM,ANA,Lukáš Dostál,dostalu01,L,6,16,10,62.50%,0,0,27.33
202311260EDM,ANA,John Gibson,gibsojo02,--,2,10,8,80.00%,0,0,32.67
202311260EDM,EDM,Stuart Skinner,skinnst01,W,2,23,21,91.30%,0,0,58.65
202311280EDM,VEG,Logan Thompson,thomplo01,O,4,34,30,88.20%,0,0,65
202311280EDM,EDM,Stuart Skinner,skinnst01,W,4,27,23,85.20%,0,0,65
