GameID,Team,Goalie,PlayerID,DEC,GA,SA,SV,SV%,SO,PIM,TOI
202403030ANA,ANA,Lukáš Dostál,dostalu01,L,2,31,29,93.50%,0,0,58.95
202403060ANA,OTT,Mads Søgaard,sogaama01,L,2,16,14,87.50%,0,0,58.78
202403060ANA,ANA,Lukáš Dostál,dostalu01,W,1,30,29,96.70%,0,0,59.68
202403080ANA,DAL,Jake Oettinger,oettija01,W,2,27,25,92.60%,0,0,59.97
202403080ANA,ANA,John Gibson,gibsojo02,L,6,36,30,83.30%,0,0,60
202403100ANA,NYI,Semyon Varlamov,varlasi01,W,1,23,22,95.70%,0,0,59.55
202403100ANA,ANA,Lukáš Dostál,dostalu01,L,6,19,13,68.40%,0,2,58.82
202403190ANA,MIN,Filip Gustavsson,gustafi01,W,0,27,27,100.00%,1,0,60
202403190ANA,ANA,John Gibson,gibsojo02,L,4,32,28,87.50%,0,0,59.52
202403210ANA,CHI,Arvid Söderblom,soderar01,L,4,25,21,84.00%,0,0,60
202403210ANA,ANA,Lukáš Dostál,dostalu01,W,0,29,29,100.00%,1,0,59.77
202403240ANA,TBL,Jonas Johansson,johanjo03,W,2,32,30,93.80%,0,0,60.98
202403240ANA,ANA,Lukáš Dostál,dostalu01,O,3,27,24,88.90%,0,0,60.73
202404050ANA,SEA,Philipp Grubauer,grubaph01,W,1,17,16,94.10%,0,0,58.83
202404050ANA,ANA,Lukáš Dostál,dostalu01,L,3,27,24,88.90%,0,0,58.92
202404070ANA,STL,Jordan Binnington,binnijo01,W,5,38,33,86.80%,0,2,65
202404070ANA,ANA,Lukáš Dostál,dostalu01,O,5,31,26,83.90%,0,0,64.97
202404090ANA,LAK,Cam Talbot,talboca01,L,3,27,24,88.90%,0,0,57.22
202404090ANA,ANA,Lukáš Dostál,dostalu01,W,1,37,36,97.30%,0,2,60
202404120ANA,CGY,Dustin Wolf,wolfdu01,W,3,22,19,86.40%,0,0,59.45
202404120ANA,ANA,John Gibson,gibsojo02,L,6,27,21,77.80%,0,0,59.65
202310210ARI,ANA,Lukáš Dostál,dostalu01,L,2,27,25,92.60%,0,0,57.87
202310210ARI,ARI,Karel Vejmelka,vejmeka01,W,1,33,32,97.00%,0,0,58.63
202310270ARI,LAK,Pheonix Copley,copleph01,--,3,6,3,50.00%,0,0,8.35
202310270ARI,LAK,Cam Talbot,talboca01,W,1,18,17,94.40%,0,0,51.07
202310270ARI,ARI,Karel Vejmelka,vejmeka01,L,5,41,36,87.80%,0,0,59.67
202310300ARI,CHI,Arvid Söderblom,soderar01,L,7,22,15,68.20%,0,0,35.43
202310300ARI,CHI,Petr Mrázek,mrazepe01,--,1,11,10,90.90%,0,0,24.57
202310300ARI,ARI,Connor Ingram,ingraco01,W,1,30,29,96.70%,0,0,59.8
202311020ARI,MTL,Jake Allen,allenja01,L,3,35,32,91.40%,0,0,57.75
202311020ARI,ARI,Connor Ingram,ingraco01,W,2,30,28,93.30%,0,0,60
202311040ARI,WPG,Connor Hellebuyck,helleco01,W,3,25,22,88.00%,0,0,60
202311040ARI,ARI,Karel Vejmelka,vejmeka01,L,5,27,22,81.50%,0,0,57.87
202311070ARI,SEA,Joey Daccord,daccojo01,O,3,27,24,88.90%,0,0,65
202311070ARI,ARI,Connor Ingram,ingraco01,W,3,38,35,92.10%,0,0,65
202311200ARI,LAK,Pheonix Copley,copleph01,W,1,31,30,96.80%,0,0,59.7
202311200ARI,ARI,Connor Ingram,ingraco01,L,4,25,21,84.00%,0,0,60
202311220ARI,STL,Jordan Binnington,binnijo01,--,5,13,8,61.50%,0,0,28
202311220ARI,STL,Joel Hofer,hoferjo01,W,0,12,12,100.00%,0,0,32
202311220ARI,ARI,Karel Vejmelka,vejmeka01,--,4,11,7,63.60%,0,0,24.13
202311220ARI,ARI,Connor Ingram,ingraco01,L,2,20,18,90.00%,0,0,34.15
202311280ARI,ARI,Jonas Johansson,johanjo03,L,3,27,24,88.90%,0,0,59.15
202311280ARI,ARI,Connor Ingram,ingraco01,W,1,31,30,96.80%,0,0,60
202311300ARI,COL,Alexandar Georgiev,georgal01,O,4,32,28,87.50%,0,0,64.65
202311300ARI,ARI,Connor Ingram,ingraco01,W,3,31,28,90.30%,0,0,64.25
202312020ARI,STL,Joel Hofer,hoferjo01,L,3,21,18,85.70%,0,0,57.28
202312020ARI,STL,Empty Net,,--,1,1,0,0.00%,0,0,0
202312020ARI,ARI,Connor Ingram,ingraco01,W,1,32,31,96.90%,0,0,60
202312040ARI,WSH,Darcy Kuemper,kuempda01,L,3,5,2,40.00%,0,0,13.82
202312040ARI,WSH,Charlie Lindgren,lindgch01,--,3,22,19,86.40%,0,0,45.75
202312040ARI,ARI,Connor Ingram,ingraco01,W,0,26,26,100.00%,1,0,59.57
202312070ARI,PHI,Carter Hart,hartca01,W,1,26,25,96.20%,0,0,60
202312070ARI,ARI,Connor Ingram,ingraco01,L,4,26,22,84.60%,0,0,59.48
