GameID,Date,Player,PlayerID,Team,Location,Opp,Result,OT/SO,GA,SA,SV,SV%,PIM,TOI
202403300STL,3/30/2024,Mackenzie Blackwood,blackma01,SJS,@,STL,W,,0,35,35,100.00%,0,60
202404010SJS,4/1/2024,Mackenzie Blackwood,blackma01,SJS,vs,SEA,L,,3,31,28,90.30%,0,59.4
202404040SJS,4/4/2024,Mackenzie Blackwood,blackma01,SJS,vs,LAK,L,,2,27,25,92.60%,0,58.12
202404070SJS,4/7/2024,Mackenzie Blackwood,blackma01,SJS,vs,ARI,L,,4,27,23,85.20%,0,58.3
202404090SJS,4/9/2024,Mackenzie Blackwood,blackma01,SJS,vs,CGY,L,OT,3,41,38,92.70%,0,62.97
202404130SJS,4/13/2024,Mackenzie Blackwood,blackma01,SJS,vs,MIN,L,,6,38,32,84.20%,0,60
202310120MIN,10/12/2023,Sergei Bobrovsky,bobrose01,FLA,@,MIN,L,,2,21,19,90.50%,0,57.3
202310140WPG,10/14/2023,Sergei Bobrovsky,bobrose01,FLA,@,WPG,L,,5,34,29,85.30%,0,57.95
202310160NJD,10/16/2023,Sergei Bobrovsky,bobrose01,FLA,@,NJD,W,,3,34,31,91.20%,0,60
202310190FLA,10/19/2023,Sergei Bobrovsky,bobrose01,FLA,vs,TOR,W,,1,30,29,96.70%,0,60
202310210FLA,10/21/2023,Sergei Bobrovsky,bobrose01,FLA,vs,VAN,L,,4,30,26,86.70%,0,59.13
202310280FLA,10/28/2023,Sergei Bobrovsky,bobrose01,FLA,vs,SEA,W,,2,33,31,93.90%,0,60
202310300BOS,10/30/2023,Sergei Bobrovsky,bobrose01,FLA,@,BOS,L,OT,3,26,23,88.50%,0,63.6
202311020DET,11/2/2023,Sergei Bobrovsky,bobrose01,FLA,@,DET,W,,0,22,22,100.00%,0,59.82
202311060FLA,11/6/2023,Sergei Bobrovsky,bobrose01,FLA,vs,CBJ,W,OT,4,23,19,82.60%,0,59.03
202311080WSH,11/8/2023,Sergei Bobrovsky,bobrose01,FLA,@,WSH,W,OT,3,28,25,89.30%,0,60.25
202311100FLA,11/10/2023,Sergei Bobrovsky,bobrose01,FLA,vs,CAR,W,,2,30,28,93.30%,0,60
202311120FLA,11/12/2023,Sergei Bobrovsky,bobrose01,FLA,vs,CHI,W,,3,26,23,88.50%,0,60
202311160LAK,11/16/2023,Sergei Bobrovsky,bobrose01,FLA,@,LAK,L,,2,27,25,92.60%,0,57.72
202311200FLA,11/20/2023,Sergei Bobrovsky,bobrose01,FLA,vs,EDM,W,,3,29,26,89.70%,0,60
202311220FLA,11/22/2023,Sergei Bobrovsky,bobrose01,FLA,vs,BOS,L,,3,25,22,88.00%,0,57.35
202311240FLA,11/24/2023,Sergei Bobrovsky,bobrose01,FLA,vs,WPG,L,,2,30,28,93.30%,2,58.87
202311270OTT,11/27/2023,Sergei Bobrovsky,bobrose01,FLA,@,OTT,W,,0,20,20,100.00%,0,60
202311300MTL,11/30/2023,Sergei Bobrovsky,bobrose01,FLA,@,MTL,W,,1,22,21,95.50%,0,60
202312060FLA,12/6/2023,Sergei Bobrovsky,bobrose01,FLA,vs,DAL,W,,4,33,29,87.90%,0,60
202312080FLA,12/8/2023,Sergei Bobrovsky,bobrose01,FLA,vs,PIT,W,,1,26,25,96.20%,0,60
202312120SEA,12/12/2023,Sergei Bobrovsky,bobrose01,FLA,@,SEA,L,,3,22,19,86.40%,0,56.7
202312140VAN,12/14/2023,Sergei Bobrovsky,bobrose01,FLA,@,VAN,L,,4,17,13,76.50%,0,39.7
202312160EDM,12/16/2023,Sergei Bobrovsky,bobrose01,FLA,@,EDM,W,,1,39,38,97.40%,0,59.85
202312210FLA,12/21/2023,Sergei Bobrovsky,bobrose01,FLA,vs,STL,L,,3,23,20,87.00%,0,59.5
202312230FLA,12/23/2023,Sergei Bobrovsky,bobrose01,FLA,vs,VEG,W,,2,25,23,92.00%,0,60
202312270TBL,12/27/2023,Sergei Bobrovsky,bobrose01,FLA,@,TBL,W,,2,29,27,93.10%,0,60
202312290FLA,12/29/2023,Sergei Bobrovsky,bobrose01,FLA,vs,NYR,W,,3,34,31,91.20%,0,60
202401020ARI,1/2/2024,Sergei Bobrovsky,bobrose01,FLA,@,ARI,W,,1,22,21,95.50%,0,59.9
202401040VEG,1/4/2024,Sergei Bobrovsky,bobrose01,FLA,@,VEG,W,,1,27,26,96.30%,0,59.95
202401060COL,1/6/2024,Sergei Bobrovsky,bobrose01,FLA,@,COL,W,,4,26,22,84.60%,0,59.7
202401110FLA,1/11/2024,Sergei Bobrovsky,bobrose01,FLA,vs,LAK,W,OT,2,33,31,93.90%,0,64.77
