Team,Player,PlayerID,GP,G,A,PTS,SOG,HIT,BLK,PIM,TOI,ATOI,S%,EVG,PPG,SHG,GWG,EVA,PPA,SHA
MIN,Nic Petan,petanni01,6,0,2,2,11,5,1,2,65,10.83,0.00%,0,0,0,0,1,1,0
SJS,Jacob Peterson,peterja01,6,0,0,0,3,6,5,2,79.5,13.25,0.00%,0,0,0,0,0,0,0
BUF,John-Jason Peterka,peterjo01,82,28,22,50,226,27,18,28,1344.18,16.39,12.39%,25,3,0,5,18,4,0
DAL,Alexander Petrovic,petroal01,1,0,0,0,2,2,0,0,12.87,12.87,0.00%,0,0,0,0,0,0,0
DET,Jeff Petry,petryje01,73,3,21,24,84,150,134,39,1372.05,18.8,3.57%,3,0,0,0,20,0,1
VAN,Elias Pettersson,petteel01,82,34,55,89,207,125,68,12,1611.33,19.65,16.43%,21,13,0,10,35,18,2
PIT,Marcus Pettersson,pettema01,82,4,26,30,106,121,159,44,1859.02,22.67,3.77%,4,0,0,1,26,0,0
MTL,Michael Pezzetta,pezzemi01,61,3,9,12,42,242,29,59,475.55,7.8,7.14%,3,0,0,1,9,0,0
CHI,Isaak Phillips,phillis01,33,0,6,6,31,56,36,22,563.4,17.07,0.00%,0,0,0,0,6,0,0
WSH,Matthew Phillips,phillma01,28,1,4,5,17,7,14,0,281.67,10.06,5.88%,1,0,0,0,4,0,0
PIT,Matthew Phillips,phillma01,3,0,0,0,4,1,1,0,33.98,11.33,0.00%,0,0,0,0,0,0,0
VEG,Alex Pietrangelo,pietral01,64,4,29,33,141,46,160,24,1508.2,23.57,2.84%,4,0,0,2,19,9,1
OTT,Shane Pinto,pintosh01,41,9,18,27,110,39,31,14,742.48,18.11,8.18%,5,4,0,1,16,2,0
WPG,Neal Pionk,pionkne01,82,5,28,33,146,221,118,63,1707.97,20.83,3.42%,4,1,0,1,21,7,0
CHI,Rem Pitlick,pitlire01,9,0,0,0,13,9,6,2,140.28,15.59,0.00%,0,0,0,0,0,0,0
NYR,Tyler Pitlick,pitlity01,34,1,3,4,32,84,15,4,346.73,10.2,3.13%,1,0,0,0,3,0,0
VAN,Vasily Podkolzin,podkova01,19,0,2,2,20,70,3,8,205.38,10.81,0.00%,0,0,0,0,2,0,0
PHI,Ryan Poehling,poehlry01,77,11,17,28,111,62,101,6,1154.67,15,9.91%,7,1,3,1,15,1,1
TBL,Brayden Point,pointbr01,81,46,44,90,227,16,44,14,1623.17,20.04,20.26%,31,15,0,12,27,17,0
BOS,Matthew Poitras,poitrma01,33,5,10,15,40,17,15,6,442.07,13.4,12.50%,5,0,0,1,9,1,0
COL,Jason Polin,polinja01,7,1,0,1,6,14,1,2,51.97,7.42,16.67%,1,0,0,0,0,0,0
CAR,Vasiliy Ponomarev,ponomva01,2,1,1,2,1,0,1,0,19.35,9.68,100.00%,1,0,0,0,1,0,0
CGY,Martin Pospisil,pospima01,63,8,16,24,117,238,22,109,801.33,12.72,6.84%,8,0,0,1,16,0,0
SEA,Andrew Poturalski,poturan01,2,0,0,0,0,0,0,0,13.75,6.88,--,0,0,0,0,0,0,0
DAL,Derrick Pouliot,poulide01,5,0,0,0,5,4,5,0,60.7,12.14,0.00%,0,0,0,0,0,0,0
PIT,Samuel Poulin,poulisa01,3,0,0,0,2,5,3,2,23.37,7.79,0.00%,0,0,0,0,0,0,0
BUF,Owen Power,powerow01,76,6,27,33,108,45,115,28,1741.92,22.92,5.56%,6,0,0,1,20,6,1
WSH,Aliaksei Protas,protaal01,78,6,23,29,113,34,49,8,1072.2,13.75,5.31%,6,0,0,1,22,0,1
CBJ,Ivan Provorov,provoiv01,82,5,27,32,107,66,155,20,1817.32,22.16,4.67%,5,0,0,0,20,7,0
PIT,Jesse Puljujärvi,puljuje01,22,3,1,4,29,40,6,6,202.15,9.19,10.34%,3,0,0,0,1,0,0
NYI,Ryan Pulock,pulocry01,58,5,14,19,90,99,149,12,1307.9,22.55,5.56%,3,2,0,1,10,4,0
PIT,Valtteri Puustinen,puustva01,51,5,15,20,84,40,32,6,603.78,11.84,5.95%,5,0,0,0,13,2,0
CAR,Valtteri Puustinen,puustva01,1,0,0,0,2,0,1,0,7.07,7.07,0.00%,0,0,0,0,0,0,0
CBJ,Mikael Pyyhtia,pyyhtmi01,17,0,2,2,22,9,20,0,223.62,13.15,0.00%,0,0,0,0,2,0,0
BUF,Jack Quinn,quinnja01,27,9,10,19,56,31,12,8,422.32,15.64,16.07%,8,1,0,2,8,2,0
TBL,Darren Raddysh,raddyda01,80,6,27,33,100,75,103,21,1535.25,19.19,6.00%,5,1,0,2,21,6,0
CAR,Darren Raddysh,raddyda01,1,0,0,0,0,0,0,0,15.7,15.7,--,0,0,0,0,0,0,0
ARI,Darren Raddysh,raddyda01,1,0,0,0,1,0,2,0,15.72,15.72,0.00%,0,0,0,0,0,0,0
CHI,Taylor Raddysh,raddyta01,73,5,9,14,120,84,28,22,1159.45,15.88,4.17%,3,1,1,0,7,2,0
PIT,Rickard Rakell,rakelri01,69,15,22,37,165,112,38,22,1138.23,16.5,9.09%,11,4,0,2,20,2,0
CAR,Rickard Rakell,rakelri01,1,0,0,0,0,0,2,0,17.87,17.87,--,0,0,0,0,0,0,0
COL,Mikko Rantanen,rantami01,80,42,62,104,271,53,49,50,1832.45,22.91,15.50%,28,14,0,9,36,26,0
MIN,Adam Raška,raskaad01,5,0,0,0,0,12,1,0,34.05,6.81,--,0,0,0,0,0,0,0
DET,Michael Rasmussen,rasmumi01,75,13,20,33,101,124,76,47,1139.32,15.19,12.87%,12,0,1,3,17,0,3
ARI,Aku Raty,ratyak01,1,0,1,1,0,2,0,0,11.75,11.75,--,0,0,0,0,1,0,0
DET,Lucas Raymond,raymolu01,82,31,41,72,163,69,27,30,1455.77,17.75,19.02%,25,6,0,4,31,10,0
TOR,Ryan Reaves,reavery01,49,4,2,6,26,165,17,49,397.7,8.12,15.38%,4,0,0,0,2,0,0
ANA,Pavol Regenda,regenpa01,5,0,0,0,7,11,5,2,57.82,11.56,0.00%,0,0,0,0,0,0,0
CHI,Lukas Reichel,reichlu01,65,5,11,16,84,27,25,12,917.18,14.11,5.95%,3,2,0,0,11,0,0
FLA,Mike Reilly,reillmi01,2,0,0,0,7,0,3,2,28.27,14.13,0.00%,0,0,0,0,0,0,0
NYI,Mike Reilly,reillmi01,59,6,18,24,119,47,57,28,1018.25,17.26,5.04%,5,0,1,1,13,5,0
FLA,Sam Reinhart,reinhsa01,82,57,37,94,233,78,66,31,1664.58,20.3,24.46%,25,27,5,11,30,7,0
VEG,Sheldon Rempal,rempash01,9,2,1,3,16,0,3,4,89.75,9.97,12.50%,1,1,0,0,1,0,0
NYR,Matt Rempe,rempema01,17,1,1,2,12,50,5,71,95.63,5.63,8.33%,1,0,0,1,1,0,0
