GameID,Team,Time,Player,PlayerID,Penalty,PIM
202312310ANA,ANA,33.62,Ryan Strome,stromry01,Slashing,2 min
202312310ANA,ANA,40,Adam Henrique,henriad01,Holding,2 min
202312310ANA,EDM,42.58,Mattias Ekholm,ekholma01,Fighting,5 min
202312310ANA,ANA,42.58,Ryan Strome,stromry01,Fighting,5 min
202312310ANA,EDM,50.57,Mattias Janmark,janmama02,Unsportsmanlike Conduct,2 min
202312310ANA,EDM,50.57,Mattias Janmark,janmama02,Misconduct,10 min
202312310ANA,ANA,55.82,Trevor Zegras,zegratr01,Misconduct,10 min
202312310ANA,ANA,55.82,Trevor Zegras,zegratr01,Spearing,4 min
202312310ANA,EDM,55.82,Leon Draisaitl,draisle01,Misconduct,10 min
202312310ANA,EDM,55.82,Leon Draisaitl,draisle01,Roughing,2 min
202312310ANA,EDM,57.12,Warren Foegele,foegewa01,Interference,2 min
202312310ANA,ANA,58.02,Pavel Mintyukov,mintypa01,Slashing,2 min
202401030ANA,ANA,3,Jamie Drysdale,drysdja01,Slashing,2 min
202401030ANA,ANA,26.62,Ilya Lyubushkin,lyubuil01,Instigator,2 min
202401030ANA,ANA,26.62,Ilya Lyubushkin,lyubuil01,Fighting,5 min
202401030ANA,ANA,26.62,Ilya Lyubushkin,lyubuil01,Instigator,10 min
202401030ANA,TOR,26.62,Bobby McMann,mcmanbo02,Boarding,5 min
202401030ANA,TOR,26.62,Bobby McMann,mcmanbo02,Fighting,5 min
202401030ANA,TOR,26.62,Bobby McMann,mcmanbo02,Misconduct,10 min
202401030ANA,ANA,30.95,Alex Killorn,killoal01,Roughing,2 min
202401030ANA,ANA,35.28,Bench,,Too Many Men on the Ice,2 min
202401030ANA,TOR,40.73,Simon Benoit,benoisi01,High Sticking,2 min
202401030ANA,TOR,48.08,Tyler Bertuzzi,bertuty01,Roughing,2 min
202401030ANA,ANA,48.08,Frank Vatrano,vatrafr01,Roughing,2 min
202401030ANA,ANA,49.42,Max Jones,jonesma03,Slashing,2 min
202401030ANA,ANA,52.92,Jamie Drysdale,drysdja01,Cross Checking,2 min
202401050ANA,WPG,2.43,Adam Lowry,lowryad01,Tripping,2 min
202401050ANA,ANA,2.43,Frank Vatrano,vatrafr01,Unsportsmanlike Conduct,2 min
202401050ANA,WPG,10.8,Mason Appleton,applema01,High Sticking,2 min
202401050ANA,ANA,51.22,Radko Gudas,gudasra01,Holding,2 min
202401050ANA,WPG,56.7,Morgan Barron,barromo01,Holding,2 min
202401070ANA,ANA,9.43,Jakob Silfverberg,silfvja01,Interference,2 min
202401070ANA,ANA,13.25,Mason McTavish,mctavma01,Cross Checking,2 min
202401070ANA,ANA,20,Radko Gudas,gudasra01,Interference,2 min
202401070ANA,DET,26.38,Alex DeBrincat,debrial01,Hooking,2 min
202401070ANA,DET,26.97,J.T. Compher,comphj.01,Delay of Game,2 min
202401070ANA,DET,31.62,Patrick Kane,kanepa01,Unsportsmanlike Conduct,2 min
202401070ANA,DET,39.55,Moritz Seider,seidemo01,Holding,2 min
202401070ANA,ANA,47.75,Frank Vatrano,vatrafr01,Holding,2 min
202401070ANA,ANA,56.05,Frank Vatrano,vatrafr01,High Sticking,2 min
202401210ANA,NYR,0.62,K'Andre Miller,milleka01,High Sticking,2 min
202401210ANA,ANA,5.98,Cam Fowler,fowleca01,Slashing,2 min
