Gm,GameID,Date,Team,Location,Opp,G,GA,Result,OT/SO,SOG,PIM,SOGA,PIMA,CF at EV,CA at EV,CF% at EV,FF at EV,FA at EV,FF% at EV,FOW at EV,FOL at EV
75,202403310VAN,03/31/2024,ANA,@,VAN,2,3,L,,22,12,30,8,45,49,47.9,34,36,48.6,19,29
76,202404020CGY,04/02/2024,ANA,@,CGY,5,3,W,,29,4,24,2,58,47,55.2,41,34,54.7,27,35
77,202404050ANA,04/05/2024,ANA,vs,SEA,1,3,L,,17,12,27,4,33,53,38.4,21,42,33.3,16,20
78,202404070ANA,04/07/2024,ANA,vs,STL,5,6,L,SO,38,8,31,6,58,43,57.4,47,31,60.3,23,26
79,202404090ANA,04/09/2024,ANA,vs,LAK,3,1,W,,27,4,37,6,39,59,39.8,29,50,36.7,12,26
80,202404120ANA,04/12/2024,ANA,vs,CGY,3,6,L,,22,12,27,6,46,57,44.7,33,38,46.5,22,24
81,202404130LAK,04/13/2024,ANA,@,LAK,1,3,L,,29,10,28,6,31,44,41.3,29,35,45.3,10,23
82,202404180VEG,04/18/2024,ANA,@,VEG,4,1,W,,23,6,33,2,41,53,43.6,27,35,43.5,14,23
1,202310130NJD,10/13/2023,ARI,@,NJD,4,3,W,SO,33,12,36,16,39,48,44.8,29,35,45.3,23,24
2,202310160NYR,10/16/2023,ARI,@,NYR,1,2,L,,27,44,28,38,37,50,42.5,26,36,41.9,22,18
3,202310170NYI,10/17/2023,ARI,@,NYI,0,1,L,,14,8,34,8,39,55,41.5,27,43,38.6,15,25
4,202310190STL,10/19/2023,ARI,@,STL,6,2,W,,42,14,26,8,56,36,60.9,43,29,59.7,37,28
5,202310210ARI,10/21/2023,ARI,vs,ANA,2,1,W,,27,15,33,19,43,43,50,28,33,45.9,18,12
6,202310240LAK,10/24/2023,ARI,@,LAK,3,6,L,,27,18,28,8,39,35,52.7,28,28,50,30,32
7,202310270ARI,10/27/2023,ARI,vs,LAK,4,5,L,,24,10,41,4,32,59,35.2,25,42,37.3,26,30
8,202310300ARI,10/30/2023,ARI,vs,CHI,8,1,W,,33,16,30,20,54,54,50,47,37,56,24,25
9,202311010ANA,11/01/2023,ARI,@,ANA,3,4,L,OT,35,25,29,15,55,32,63.2,41,26,61.2,27,17
10,202311020ARI,11/02/2023,ARI,vs,MTL,3,2,W,,35,10,30,8,58,42,58,37,35,51.4,15,28
11,202311040ARI,11/04/2023,ARI,vs,WPG,3,5,L,,25,6,27,6,37,56,39.8,26,35,42.6,18,22
12,202311070ARI,11/07/2023,ARI,vs,SEA,4,3,W,SO,27,10,38,12,41,59,41,34,47,42,24,27
13,202311090STL,11/09/2023,ARI,@,STL,1,2,L,,20,14,33,4,41,39,51.3,29,32,47.5,22,23
