Gm,GameID,Date,Team,Location,Opp,G,GA,Result,OT/SO,SOG,PIM,SOGA,PIMA,CF at EV,CA at EV,CF% at EV,FF at EV,FA at EV,FF% at EV,FOW at EV,FOL at EV
56,202402210MTL,02/21/2024,MTL,vs,BUF,2,3,L,,31,10,23,10,56,37,60.2,42,21,66.7,25,14
57,202402220PIT,02/22/2024,MTL,@,PIT,1,4,L,,31,6,27,8,61,50,55,45,41,52.3,21,25
58,202402240NJD,02/24/2024,MTL,@,NJD,3,4,L,,26,4,24,0,51,42,54.8,40,27,59.7,19,28
59,202402270MTL,02/27/2024,MTL,vs,ARI,4,2,W,,21,6,38,0,40,66,37.7,27,45,37.5,25,17
60,202402290FLA,02/29/2024,MTL,@,FLA,3,4,L,SO,31,12,35,10,40,55,42.1,31,42,42.5,19,27
61,202403020TBL,03/02/2024,MTL,@,TBL,3,4,L,SO,31,9,29,9,53,52,50.5,37,39,48.7,23,26
62,202403050NSH,03/05/2024,MTL,@,NSH,4,3,W,OT,30,9,28,9,52,44,54.2,35,31,53,27,30
63,202403070CAR,03/07/2024,MTL,@,CAR,1,4,L,,25,10,39,12,34,75,31.2,29,55,34.5,17,28
64,202403090MTL,03/09/2024,MTL,vs,TOR,2,3,L,,31,6,27,10,46,47,49.5,34,33,50.7,23,22
65,202403120MTL,03/12/2024,MTL,vs,CBJ,3,0,W,,23,10,41,8,40,74,35.1,34,45,43,15,21
66,202403140MTL,03/14/2024,MTL,vs,BOS,1,2,L,OT,19,8,24,6,42,46,47.7,25,31,44.6,14,18
67,202403160CGY,03/16/2024,MTL,@,CGY,2,5,L,,38,8,28,8,70,42,62.5,48,26,64.9,33,15
68,202403190EDM,03/19/2024,MTL,@,EDM,2,3,L,OT,25,15,32,11,52,37,58.4,34,20,63,23,16
69,202403210VAN,03/21/2024,MTL,@,VAN,1,4,L,,17,10,25,8,33,53,38.4,22,37,37.3,22,17
70,202403240SEA,03/24/2024,MTL,@,SEA,5,1,W,,17,8,37,4,35,63,35.7,24,47,33.8,24,21
71,202403260COL,03/26/2024,MTL,@,COL,2,1,W,,27,6,28,6,41,62,39.8,31,42,42.5,25,22
72,202403280MTL,03/28/2024,MTL,vs,PHI,4,1,W,,17,14,30,10,40,45,47.1,27,30,47.4,23,22
73,202403300MTL,03/30/2024,MTL,vs,CAR,0,3,L,,26,4,30,6,44,58,43.1,33,40,45.2,23,27
74,202404020MTL,04/02/2024,MTL,vs,FLA,5,3,W,,38,26,40,40,50,50,50,37,37,50,15,26
75,202404040MTL,04/04/2024,MTL,vs,TBL,4,7,L,,30,16,35,14,52,42,55.3,33,31,51.6,21,26
76,202404060MTL,04/06/2024,MTL,vs,TOR,2,4,L,,26,9,30,9,63,54,53.8,42,40,51.2,28,27
77,202404070NYR,04/07/2024,MTL,@,NYR,2,5,L,,28,6,46,2,48,70,40.7,40,55,42.1,19,28
78,202404090MTL,04/09/2024,MTL,vs,PHI,9,3,W,,30,6,36,2,66,70,48.5,42,55,43.3,27,32
79,202404110NYI,04/11/2024,MTL,@,NYI,2,3,L,OT,14,13,31,5,31,65,32.3,19,47,28.8,19,22
80,202404130OTT,04/13/2024,MTL,@,OTT,4,5,L,SO,25,12,44,6,48,62,43.6,32,46,41,21,22
81,202404150DET,04/15/2024,MTL,@,DET,4,5,L,OT,21,2,35,0,39,80,32.8,28,48,36.8,26,23
82,202404160MTL,04/16/2024,MTL,vs,DET,4,5,L,SO,33,0,40,6,49,68,41.9,39,53,42.4,23,23
1,202310120NJD,10/12/2023,NJD,vs,DET,4,3,W,,27,8,35,12,55,43,56.1,44,35,55.7,19,25
2,202310130NJD,10/13/2023,NJD,vs,ARI,3,4,L,SO,36,16,33,12,50,39,56.2,35,29,54.7,24,23
3,202310160NJD,10/16/2023,NJD,vs,FLA,3,4,L,,34,10,30,12,50,41,54.9,31,32,49.2,25,24
4,202310200NYI,10/20/2023,NJD,@,NYI,5,4,W,OT,39,6,32,12,64,43,59.8,38,36,51.4,22,28
5,202310240MTL,10/24/2023,NJD,@,MTL,5,2,W,,34,8,29,8,62,41,60.2,44,31,58.7,26,19
6,202310250NJD,10/25/2023,NJD,vs,WSH,4,6,L,,22,6,25,2,55,40,57.9,33,30,52.4,22,21
7,202310270NJD,10/27/2023,NJD,vs,BUF,5,4,W,,39,21,27,26,48,45,51.6,29,36,44.6,25,19
8,202310290NJD,10/29/2023,NJD,vs,MIN,4,3,W,,30,12,34,6,51,40,56,36,28,56.3,17,24
9,202311020MIN,11/02/2023,NJD,@,MIN,5,3,W,,38,4,25,10,49,46,51.6,40,35,53.3,23,15
10,202311030STL,11/03/2023,NJD,@,STL,1,4,L,,34,6,35,4,61,51,54.5,52,42,55.3,30,17
11,202311050CHI,11/05/2023,NJD,@,CHI,4,2,W,,41,4,34,6,63,48,56.8,47,37,56,26,30
12,202311070COL,11/07/2023,NJD,@,COL,3,6,L,,23,12,32,21,42,44,48.8,26,31,45.6,33,19
13,202311100NJD,11/10/2023,NJD,vs,WSH,2,4,L,,26,8,27,8,46,39,54.1,31,31,50,24,19
14,202311140WPG,11/14/2023,NJD,@,WPG,3,6,L,,34,17,31,19,56,39,58.9,38,32,54.3,23,23
15,202311160PIT,11/16/2023,NJD,@,PIT,5,2,W,,31,6,23,2,45,45,50,36,36,50,30,21
16,202311180NJD,11/18/2023,NJD,vs,NYR,3,5,L,,33,6,35,2,64,53,54.7,45,38,54.2,20,22
17,202311220DET,11/22/2023,NJD,@,DET,0,4,L,,16,8,28,4,45,35,56.3,30,29,50.8,20,17
18,202311240NJD,11/24/2023,NJD,vs,CBJ,1,2,L,,38,6,28,4,67,42,61.5,41,32,56.2,24,22
19,202311250NJD,11/25/2023,NJD,vs,BUF,7,2,W,,37,6,12,4,69,27,71.9,50,19,72.5,29,23
20,202311280NJD,11/28/2023,NJD,vs,NYI,5,4,W,,33,13,26,13,60,32,65.2,42,28,60,25,16
21,202311300PHI,11/30/2023,NJD,@,PHI,4,3,W,OT,35,12,47,23,35,53,39.8,29,42,40.8,25,21
22,202312010NJD,12/01/2023,NJD,vs,SJS,3,6,L,,47,0,18,4,91,39,70,62,29,68.1,32,26
23,202312050VAN,12/05/2023,NJD,@,VAN,6,5,W,,32,8,33,4,47,33,58.8,33,30,52.4,30,24
24,202312070SEA,12/07/2023,NJD,@,SEA,2,1,W,,17,4,38,6,42,64,39.6,31,48,39.2,23,24
25,202312090CGY,12/09/2023,NJD,@,CGY,4,2,W,,30,0,25,4,50,54,48.1,36,38,48.6,24,20
26,202312100EDM,12/10/2023,NJD,@,EDM,1,4,L,,26,6,30,8,51,45,53.1,31,38,44.9,20,27
27,202312130NJD,12/13/2023,NJD,vs,BOS,2,1,W,OT,35,2,24,4,65,50,56.5,48,38,55.8,27,26
28,202312160CBJ,12/16/2023,NJD,@,CBJ,6,3,W,,30,10,26,6,48,41,53.9,35,31,53,22,18
29,202312170NJD,12/17/2023,NJD,vs,ANA,1,5,L,,29,19,28,29,46,39,54.1,31,30,50.8,17,20
30,202312190NJD,12/19/2023,NJD,vs,PHI,2,3,L,OT,26,6,26,2,55,46,54.5,32,37,46.4,28,18
31,202312210NJD,12/21/2023,NJD,vs,EDM,3,6,L,,26,4,38,0,50,61,45,36,44,45,28,24
32,202312230NJD,12/23/2023,NJD,vs,DET,3,2,W,,36,8,24,10,45,36,55.6,36,27,57.1,19,19
33,202312270NJD,12/27/2023,NJD,vs,CBJ,4,3,W,OT,35,6,29,6,62,50,55.4,40,31,56.3,23,26
34,202312290OTT,12/29/2023,NJD,@,OTT,6,2,W,,30,8,27,8,50,40,55.6,33,28,54.1,21,18
35,202312300BOS,12/30/2023,NJD,@,BOS,2,5,L,,33,4,31,4,50,49,50.5,37,37,50,33,11
36,202401030WSH,01/03/2024,NJD,@,WSH,6,3,W,,28,8,26,4,58,35,62.4,39,29,57.4,34,25
37,202401050NJD,01/05/2024,NJD,vs,CHI,4,2,W,,32,26,25,38,47,36,56.6,29,27,51.8,20,15
38,202401060NJD,01/06/2024,NJD,vs,VAN,4,6,L,,25,2,43,4,41,69,37.3,28,51,35.4,32,22
39,202401110TBL,01/11/2024,NJD,@,TBL,3,4,L,OT,30,10,20,6,55,28,66.3,40,21,65.6,18,19
40,202401130FLA,01/13/2024,NJD,@,FLA,4,1,W,,22,4,36,4,40,66,37.7,31,48,39.2,25,21
41,202401150BOS,01/15/2024,NJD,@,BOS,0,3,L,,31,10,36,4,57,52,52.3,41,42,49.4,26,24
42,202401170NJD,01/17/2024,NJD,vs,MTL,2,3,L,,30,2,25,8,52,37,58.4,39,26,60,24,8
43,202401190CBJ,01/19/2024,NJD,@,CBJ,4,1,W,,33,6,30,8,46,60,43.4,33,46,41.8,24,18
44,202401200NJD,01/20/2024,NJD,vs,DAL,2,6,L,,31,22,36,6,57,58,49.6,42,42,50,27,28
45,202401220NJD,01/22/2024,NJD,vs,VEG,6,5,W,OT,38,2,32,6,61,51,54.5,47,40,54,22,27
46,202401250CAR,01/25/2024,NJD,@,CAR,2,3,L,,25,8,23,6,45,38,54.2,33,31,51.6,19,23
47,202401270TBL,01/27/2024,NJD,@,TBL,3,6,L,,24,6,42,2,41,63,39.4,33,51,39.3,24,24
48,202402060NJD,02/06/2024,NJD,vs,COL,5,3,W,,31,8,38,8,54,58,48.2,35,42,45.5,31,20
49,202402080NJD,02/08/2024,NJD,vs,CGY,3,5,L,,40,6,30,4,56,50,52.8,44,36,55,25,25
50,202402100CAR,02/10/2024,NJD,@,CAR,0,1,L,OT,34,6,32,10,46,58,44.2,35,37,48.6,17,24
51,202402120NJD,02/12/2024,NJD,vs,SEA,3,1,W,,37,6,28,10,40,49,44.9,32,35,47.8,19,13
52,202402130NSH,02/13/2024,NJD,@,NSH,4,2,W,,47,6,32,6,90,48,65.2,63,35,64.3,24,20
53,202402150NJD,02/15/2024,NJD,vs,LAK,1,2,L,,27,10,29,12,40,52,43.5,29,35,45.3,14,17
54,202402170NJD,02/17/2024,NJD,vs,PHI,6,3,W,,40,8,48,12,59,74,44.4,42,59,41.6,34,20
55,202402200WSH,02/20/2024,NJD,@,WSH,2,6,L,,39,2,26,4,57,53,51.8,46,37,55.4,31,21
56,202402220NJD,02/22/2024,NJD,vs,NYR,1,5,L,,40,17,18,30,64,26,71.1,42,20,67.7,22,16
57,202402240NJD,02/24/2024,NJD,vs,MTL,4,3,W,,24,0,26,4,44,50,46.8,27,40,40.3,28,19
58,202402250NJD,02/25/2024,NJD,vs,TBL,1,4,L,,19,6,27,8,49,45,52.1,28,38,42.4,23,20
59,202402270SJS,02/27/2024,NJD,@,SJS,7,2,W,,44,2,31,4,67,57,54,56,47,54.4,25,22
60,202403010ANA,03/01/2024,NJD,@,ANA,3,4,L,,55,19,23,13,79,34,69.9,60,26,69.8,36,25
61,202403030LAK,03/03/2024,NJD,@,LAK,1,5,L,,31,6,23,4,56,43,56.6,39,32,54.9,25,28
62,202403050NJD,03/05/2024,NJD,vs,FLA,3,5,L,,24,4,31,6,49,50,49.5,32,37,46.4,33,31
63,202403070NJD,03/07/2024,NJD,vs,STL,4,1,W,,33,6,24,4,55,42,56.7,41,31,56.9,25,27
64,202403090NJD,03/09/2024,NJD,vs,CAR,2,4,L,,25,10,26,12,46,50,47.9,35,41,46.1,20,27
65,202403110NYR,03/11/2024,NJD,@,NYR,1,3,L,,20,18,26,21,40,42,48.8,30,31,49.2,10,17
66,202403140DAL,03/14/2024,NJD,@,DAL,6,2,W,,20,6,37,0,33,69,32.4,26,47,35.6,25,31
67,202403160ARI,03/16/2024,NJD,@,ARI,1,4,L,,38,9,32,9,71,46,60.7,50,34,59.5,27,22
68,202403170VEG,03/17/2024,NJD,@,VEG,1,3,L,,21,4,37,4,51,52,49.5,32,40,44.4,26,20
69,202403190NJD,03/19/2024,NJD,vs,PIT,5,2,W,,38,4,38,6,62,56,52.5,48,41,53.9,24,26
70,202403210NJD,03/21/2024,NJD,vs,WPG,4,1,W,,41,8,19,8,47,38,55.3,38,27,58.5,28,19
71,202403230NJD,03/23/2024,NJD,vs,OTT,2,5,L,,20,15,25,13,33,35,48.5,23,30,43.4,22,15
72,202403240NYI,03/24/2024,NJD,@,NYI,4,0,W,,30,29,36,28,49,46,51.6,29,37,43.9,23,15
73,202403260TOR,03/26/2024,NJD,@,TOR,6,3,W,,25,4,45,4,38,65,36.9,31,54,36.5,20,18
74,202403290BUF,03/29/2024,NJD,@,BUF,2,5,L,,30,0,36,6,61,59,50.8,43,47,47.8,31,16
75,202404020NJD,04/02/2024,NJD,vs,PIT,3,6,L,,26,6,21,8,45,45,50,31,27,53.4,25,26
76,202404030NYR,04/03/2024,NJD,@,NYR,3,4,L,,20,88,41,78,38,58,39.6,24,46,34.3,26,22
77,202404060OTT,04/06/2024,NJD,@,OTT,4,3,W,,27,15,28,11,62,63,49.6,39,45,46.4,30,21
78,202404070NJD,04/07/2024,NJD,vs,NSH,2,3,L,SO,25,8,35,4,45,59,43.3,37,44,45.7,26,30
79,202404090NJD,04/09/2024,NJD,vs,TOR,2,5,L,,20,6,39,4,34,60,36.2,24,42,36.4,23,17
80,202404110TOR,04/11/2024,NJD,@,TOR,6,5,W,,20,11,32,23,39,62,38.6,24,44,35.3,19,27
81,202404130PHI,04/13/2024,NJD,@,PHI,0,1,L,,20,6,21,2,49,35,58.3,26,27,49.1,19,17
82,202404150NJD,04/15/2024,NJD,vs,NYI,1,4,L,,24,2,19,6,47,36,56.6,27,28,49.1,25,20
1,202310100TBL,10/10/2023,NSH,@,TBL,3,5,L,,31,10,34,8,48,44,52.2,33,36,47.8,19,25
2,202310120NSH,10/12/2023,NSH,vs,SEA,3,0,W,,35,6,23,8,58,49,54.2,41,34,54.7,24,15
3,202310140BOS,10/14/2023,NSH,@,BOS,2,3,L,,36,10,30,14,44,41,51.8,35,24,59.3,27,14
4,202310170NSH,10/17/2023,NSH,vs,EDM,1,6,L,,44,11,30,11,53,41,56.4,44,33,57.1,27,26
5,202310190NYR,10/19/2023,NSH,@,NYR,4,1,W,,27,8,24,8,40,44,47.6,31,27,53.4,18,20
6,202310210NSH,10/21/2023,NSH,vs,SJS,5,1,W,,34,9,32,15,41,44,48.2,33,30,52.4,17,24
7,202310240NSH,10/24/2023,NSH,vs,VAN,2,3,L,,18,2,24,6,31,62,33.3,21,39,35,22,21
8,202310280NSH,10/28/2023,NSH,vs,TOR,3,2,W,OT,24,8,35,10,43,54,44.3,33,38,46.5,18,26
9,202310310VAN,10/31/2023,NSH,@,VAN,2,5,L,,29,6,27,8,60,42,58.8,48,31,60.8,16,24
10,202311020SEA,11/02/2023,NSH,@,SEA,2,4,L,,34,10,31,10,46,47,49.5,35,31,53,23,16
11,202311040EDM,11/04/2023,NSH,@,EDM,5,2,W,,34,8,35,10,46,54,46,39,41,48.8,39,16
12,202311070CGY,11/07/2023,NSH,@,CGY,2,4,L,,18,6,39,4,35,67,34.3,23,53,30.3,26,31
13,202311090WPG,11/09/2023,NSH,@,WPG,3,6,L,,23,28,37,20,36,40,47.4,27,29,48.2,25,18
14,202311110NSH,11/11/2023,NSH,vs,ARI,5,7,L,,42,8,25,8,57,39,59.4,43,30,58.9,19,20
15,202311140NSH,11/14/2023,NSH,vs,ANA,2,3,L,,30,16,20,30,44,34,56.4,28,26,51.9,17,23
16,202311180NSH,11/18/2023,NSH,vs,CHI,4,2,W,,31,4,31,6,49,44,52.7,40,31,56.3,27,20
17,202311200NSH,11/20/2023,NSH,vs,COL,4,3,W,,30,10,29,8,54,38,58.7,31,29,51.7,18,17
18,202311220NSH,11/22/2023,NSH,vs,CGY,4,2,W,,45,18,26,20,53,39,57.6,43,28,60.6,23,23
19,202311240STL,11/24/2023,NSH,@,STL,8,3,W,,35,13,39,15,36,50,41.9,31,37,45.6,12,24
20,202311260NSH,11/26/2023,NSH,vs,WPG,3,2,W,,26,4,34,4,46,52,46.9,35,39,47.3,31,33
21,202311280NSH,11/28/2023,NSH,vs,PIT,3,2,W,OT,25,9,31,11,40,47,46,27,39,40.9,21,17
22,202311300NSH,11/30/2023,NSH,vs,MIN,1,6,L,,27,17,31,17,40,45,47.1,29,38,43.3,21,15
23,202312020NSH,12/02/2023,NSH,vs,NYR,3,4,L,,40,4,25,8,66,47,58.4,47,32,59.5,22,31
24,202312030BUF,12/03/2023,NSH,@,BUF,2,1,W,,29,2,35,4,55,67,45.1,38,55,40.9,31,20
25,202312050CHI,12/05/2023,NSH,@,CHI,4,3,W,SO,30,4,28,4,60,48,55.6,40,34,54.1,19,20
26,202312070NSH,12/07/2023,NSH,vs,TBL,5,1,W,,30,13,33,23,51,47,52,36,35,50.7,19,22
27,202312090TOR,12/09/2023,NSH,@,TOR,0,4,L,,18,15,37,11,34,43,44.2,20,31,39.2,14,20
28,202312100MTL,12/10/2023,NSH,@,MTL,2,1,W,,32,12,37,8,47,56,45.6,32,44,42.1,21,25
29,202312120NSH,12/12/2023,NSH,vs,PHI,3,2,W,OT,22,13,39,11,56,39,58.9,31,32,49.2,22,13
30,202312150CAR,12/15/2023,NSH,@,CAR,6,5,W,OT,30,6,31,6,47,59,44.3,36,39,48,25,33
31,202312160NSH,12/16/2023,NSH,vs,WSH,3,1,W,,23,8,22,6,35,42,45.5,26,29,47.3,12,20
32,202312190NSH,12/19/2023,NSH,vs,VAN,2,5,L,,28,26,35,4,51,40,56,32,37,46.4,20,24
33,202312210PHI,12/21/2023,NSH,@,PHI,4,2,W,,31,21,31,10,47,36,56.6,36,27,57.1,21,18
34,202312230NSH,12/23/2023,NSH,vs,DAL,2,3,L,,21,4,34,4,38,68,35.8,25,42,37.3,22,30
35,202312270NSH,12/27/2023,NSH,vs,CAR,2,5,L,,37,12,25,8,40,42,48.8,32,26,55.2,20,28
36,202312290DET,12/29/2023,NSH,@,DET,4,5,L,OT,37,11,23,11,69,50,58,52,36,59.1,25,27
37,202312300WSH,12/30/2023,NSH,@,WSH,3,2,W,SO,36,13,29,11,75,52,59.1,54,39,58.1,30,17
38,202401020NSH,01/02/2024,NSH,vs,CHI,3,0,W,,36,11,21,13,65,35,65,44,27,62,23,15
39,202401040NSH,01/04/2024,NSH,vs,CGY,3,6,L,,32,23,39,4,66,50,56.9,44,37,54.3,26,31
40,202401060DAL,01/06/2024,NSH,@,DAL,4,3,W,,22,4,29,2,48,63,43.2,31,40,43.7,21,32
41,202401090NSH,01/09/2024,NSH,vs,ANA,3,5,L,,42,11,33,11,60,42,58.8,45,31,59.2,30,30
42,202401120DAL,01/12/2024,NSH,@,DAL,6,3,W,,38,6,22,10,53,50,51.5,42,33,56,20,33
43,202401130NSH,01/13/2024,NSH,vs,NYI,3,1,W,,28,4,25,6,62,47,56.9,38,28,57.6,19,22
44,202401150VEG,01/15/2024,NSH,@,VEG,1,4,L,,35,4,29,8,62,64,49.2,43,39,52.4,16,25
45,202401180LAK,01/18/2024,NSH,@,LAK,2,1,W,,33,10,34,6,51,64,44.3,38,45,45.8,22,25
46,202401200ARI,01/20/2024,NSH,@,ARI,2,3,L,,32,4,24,12,49,49,50,35,37,48.6,17,24
47,202401220NSH,01/22/2024,NSH,vs,FLA,1,4,L,,27,13,38,15,40,55,42.1,26,39,40,26,19
48,202401250MIN,01/25/2024,NSH,@,MIN,3,2,W,,29,20,24,26,57,34,62.6,39,21,65,23,25
49,202401270EDM,01/27/2024,NSH,@,EDM,1,4,L,,29,6,21,6,57,42,57.6,42,30,58.3,21,20
50,202401290OTT,01/29/2024,NSH,@,OTT,3,4,L,OT,28,8,35,8,51,58,46.8,28,45,38.4,27,29
51,202401310NSH,01/31/2024,NSH,vs,LAK,2,4,L,,42,4,24,8,61,43,58.7,48,30,61.5,24,17
52,202402100NSH,02/10/2024,NSH,vs,ARI,5,4,W,OT,37,10,31,12,57,45,55.9,39,33,54.2,23,24
53,202402130NSH,02/13/2024,NSH,vs,NJD,2,4,L,,32,6,47,6,49,88,35.8,35,63,35.7,20,24
54,202402150NSH,02/15/2024,NSH,vs,DAL,2,9,L,,29,16,41,4,52,57,47.7,37,47,44,32,23
55,202402170STL,02/17/2024,NSH,@,STL,5,2,W,,33,8,37,8,51,53,49,38,39,49.4,25,15
56,202402200VEG,02/20/2024,NSH,@,VEG,5,3,W,,40,8,26,8,66,29,69.5,49,22,69,25,22
57,202402220LAK,02/22/2024,NSH,@,LAK,4,1,W,,21,8,28,8,35,52,40.2,25,35,41.7,18,24
58,202402240SJS,02/24/2024,NSH,@,SJS,4,2,W,,35,4,25,6,61,38,61.6,44,27,62,25,20
59,202402250ANA,02/25/2024,NSH,@,ANA,4,2,W,,29,11,31,13,50,54,48.1,32,36,47.1,22,17
60,202402270NSH,02/27/2024,NSH,vs,OTT,4,1,W,,36,9,25,11,67,40,62.6,45,28,61.6,31,25
61,202402290NSH,02/29/2024,NSH,vs,MIN,6,1,W,,31,15,34,13,46,45,50.5,36,37,49.3,25,20
62,202403020NSH,03/02/2024,NSH,vs,COL,5,1,W,,35,4,26,8,68,42,61.8,48,31,60.8,23,19
63,202403050NSH,03/05/2024,NSH,vs,MTL,3,4,L,OT,28,9,30,9,45,52,46.4,31,35,47,30,27
64,202403070NSH,03/07/2024,NSH,vs,BUF,4,2,W,,24,6,28,6,54,38,58.7,43,24,64.2,27,21
65,202403090CBJ,03/09/2024,NSH,@,CBJ,2,1,W,,49,4,34,6,58,52,52.7,49,38,56.3,34,23
66,202403100MIN,03/10/2024,NSH,@,MIN,3,4,L,OT,30,14,33,14,59,46,56.2,39,34,53.4,27,22
67,202403130WPG,03/13/2024,NSH,@,WPG,4,2,W,,38,6,29,6,56,38,59.6,45,31,59.2,30,31
68,202403160SEA,03/16/2024,NSH,@,SEA,4,1,W,,30,4,24,6,52,52,50,40,36,52.6,23,21
69,202403190NSH,03/19/2024,NSH,vs,SJS,8,2,W,,40,2,20,4,57,49,53.8,44,28,61.1,31,17
70,202403210FLA,03/21/2024,NSH,@,FLA,3,0,W,,37,14,33,16,56,53,51.4,41,40,50.6,27,22
71,202403230NSH,03/23/2024,NSH,vs,DET,1,0,W,,32,13,22,9,59,43,57.8,43,30,58.9,22,25
72,202403260NSH,03/26/2024,NSH,vs,VEG,5,4,W,OT,35,4,35,4,61,61,50,44,41,51.8,23,26
73,202403280ARI,03/28/2024,NSH,@,ARI,4,8,L,,37,11,40,9,67,59,53.2,51,47,52,24,25
74,202403300COL,03/30/2024,NSH,@,COL,4,7,L,,35,23,42,10,55,52,51.4,41,35,53.9,26,25
75,202404020NSH,04/02/2024,NSH,vs,BOS,0,3,L,,31,4,32,8,63,44,58.9,42,35,54.5,27,14
76,202404040NSH,04/04/2024,NSH,vs,STL,6,3,W,,31,16,47,10,43,60,41.7,30,50,37.5,22,21
77,202404060NYI,04/06/2024,NSH,@,NYI,0,2,L,,42,2,30,6,81,44,64.8,53,36,59.6,17,20
78,202404070NJD,04/07/2024,NSH,@,NJD,3,2,W,SO,35,4,25,8,59,45,56.7,44,37,54.3,30,26
79,202404090NSH,04/09/2024,NSH,vs,WPG,3,4,L,OT,48,11,22,13,62,38,62,47,26,64.4,26,20
80,202404120CHI,04/12/2024,NSH,@,CHI,5,1,W,,40,10,26,8,57,40,58.8,45,29,60.8,31,13
81,202404130NSH,04/13/2024,NSH,vs,CBJ,6,4,W,,37,7,37,11,52,64,44.8,48,46,51.1,32,34
82,202404150PIT,04/15/2024,NSH,@,PIT,2,4,L,,30,20,38,4,55,58,48.7,41,42,49.4,19,25
1,202310140NYI,10/14/2023,NYI,vs,BUF,3,2,W,,29,4,28,6,50,48,51,35,35,50,37,20
2,202310170NYI,10/17/2023,NYI,vs,ARI,1,0,W,,34,8,14,8,55,37,59.8,43,27,61.4,25,15
3,202310200NYI,10/20/2023,NYI,vs,NJD,4,5,L,OT,32,12,39,6,43,61,41.3,36,38,48.6,28,22
4,202310210BUF,10/21/2023,NYI,@,BUF,1,3,L,,25,11,42,11,38,66,36.5,28,46,37.8,10,28
5,202310240NYI,10/24/2023,NYI,vs,COL,4,7,L,,32,10,38,12,43,58,42.6,35,42,45.5,31,18
6,202310260NYI,10/26/2023,NYI,vs,OTT,3,2,W,,38,21,47,15,54,54,50,35,40,46.7,23,24
7,202310280CBJ,10/28/2023,NYI,@,CBJ,2,0,W,,34,6,34,6,58,55,51.3,47,41,53.4,17,10
8,202310300NYI,10/30/2023,NYI,vs,DET,3,4,L,OT,40,14,36,4,62,63,49.6,51,47,52,28,28
9,202311020WSH,11/02/2023,NYI,@,WSH,3,0,W,,21,6,32,4,38,69,35.5,32,51,38.6,21,20
10,202311040NYI,11/04/2023,NYI,vs,CAR,3,4,L,OT,25,8,46,4,35,88,28.5,29,64,31.2,25,32
11,202311070NYI,11/07/2023,NYI,vs,MIN,2,4,L,,29,12,31,14,50,43,53.8,33,33,50,22,20
12,202311090BOS,11/09/2023,NYI,@,BOS,2,5,L,,29,6,35,2,55,48,53.4,36,34,51.4,28,18
13,202311110NYI,11/11/2023,NYI,vs,WSH,1,4,L,,37,2,28,2,95,43,68.8,64,32,66.7,23,23
14,202311130EDM,11/13/2023,NYI,@,EDM,1,4,L,,33,6,32,6,51,57,47.2,41,37,52.6,31,37
15,202311150VAN,11/15/2023,NYI,@,VAN,3,4,L,OT,33,12,43,4,51,61,45.5,36,49,42.4,23,35
16,202311160SEA,11/16/2023,NYI,@,SEA,3,4,L,SO,23,10,32,12,49,50,49.5,31,40,43.7,16,23
17,202311180CGY,11/18/2023,NYI,@,CGY,5,4,W,SO,33,6,39,6,59,72,45,42,51,45.2,25,21
18,202311220NYI,11/22/2023,NYI,vs,PHI,3,2,W,,25,4,36,6,45,77,36.9,32,51,38.6,31,23
19,202311240OTT,11/24/2023,NYI,@,OTT,5,3,W,,26,6,31,2,47,70,40.2,29,41,41.4,32,21
20,202311250NYI,11/25/2023,NYI,vs,PHI,0,1,L,SO,25,2,40,6,59,70,45.7,36,48,42.9,31,26
21,202311280NJD,11/28/2023,NYI,@,NJD,4,5,L,,26,13,33,13,33,60,35.5,28,42,40,16,25
22,202311300CAR,11/30/2023,NYI,@,CAR,5,4,W,OT,16,6,43,8,35,85,29.2,24,57,29.6,30,24
23,202312020FLA,12/02/2023,NYI,@,FLA,4,3,W,,27,4,45,4,47,84,35.9,31,60,34.1,22,35
24,202312050NYI,12/05/2023,NYI,vs,SJS,4,5,L,OT,39,4,37,6,72,58,55.4,52,39,57.1,33,27
25,202312070NYI,12/07/2023,NYI,vs,CBJ,7,3,W,,36,2,35,4,53,66,44.5,38,45,45.8,28,31
26,202312090NYI,12/09/2023,NYI,vs,LAK,3,2,W,OT,30,15,35,13,45,51,46.9,35,33,51.5,21,25
27,202312110NYI,12/11/2023,NYI,vs,TOR,4,3,W,OT,29,2,40,2,61,67,47.7,48,52,48,25,29
28,202312130NYI,12/13/2023,NYI,vs,ANA,4,3,W,,35,4,24,8,55,39,58.5,42,28,60,29,27
29,202312150NYI,12/15/2023,NYI,vs,BOS,4,5,L,SO,37,6,34,8,50,54,48.1,42,39,51.9,36,28
30,202312160MTL,12/16/2023,NYI,@,MTL,3,5,L,,33,4,41,2,55,59,48.2,37,45,45.1,15,31
31,202312190NYI,12/19/2023,NYI,vs,EDM,3,1,W,,21,8,31,8,27,61,30.7,20,45,30.8,11,16
32,202312200WSH,12/20/2023,NYI,@,WSH,2,3,L,OT,32,6,36,6,51,48,51.5,36,37,49.3,16,19
33,202312230CAR,12/23/2023,NYI,@,CAR,5,4,W,,28,10,40,8,41,75,35.3,33,54,37.9,27,30
34,202312270NYI,12/27/2023,NYI,vs,PIT,0,7,L,,22,6,32,4,44,49,47.3,32,37,46.4,23,27
35,202312290NYI,12/29/2023,NYI,vs,WSH,5,1,W,,32,4,27,6,61,44,58.1,46,36,56.1,25,17
