Game_ID,Home Team,Away Team,Period,Time,Team,Info,Scorer,Scorer_ID,Assist1,Assist1_ID,Assist2,Assist2_ID
202311220ANA,ANA,MTL,1st Period,5:59,MTL,--,Alex Newhook,newhoal01,Tanner Pearson,pearsta01,Brendan Gallagher,gallabr01
202311220ANA,ANA,MTL,1st Period,6:37,MTL,--,Kaiden Guhle,guhleka01,Jesse Ylönen,yloneje01,Jake Evans,evansja02
202311220ANA,ANA,MTL,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202311220ANA,ANA,MTL,2nd Period,0:53,ANA,PP,Mason McTavish,mctavma01,Leo Carlsson,carlsle01,Pavel Mintyukov,mintypa01
202311220ANA,ANA,MTL,2nd Period,1:49,MTL,--,Mike Matheson,mathemi01,Nick Suzuki,suzukni01,Justin Barron,barroju01
202311220ANA,ANA,MTL,2nd Period,6:00,ANA,--,Mason McTavish,mctavma01,Frank Vatrano,vatrafr01,Tristan Luneau,luneatr01
202311220ANA,ANA,MTL,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202311220ANA,ANA,MTL,3rd Period,11:31,ANA,--,Frank Vatrano,vatrafr01,Mason McTavish,mctavma01,Cam Fowler,fowleca01
202311220ANA,ANA,MTL,3rd Period,16:40,MTL,--,Alex Newhook,newhoal01,Jake Evans,evansja02,Jake Evans,evansja02
202311240ANA,ANA,LAK,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202311240ANA,ANA,LAK,1st Period,10:25,LAK,PP,Kevin Fiala,fialake01,Anže Kopitar,kopitan01,Drew Doughty,doughdr01
202311240ANA,ANA,LAK,1st Period,12:26,LAK,PP,Arthur Kaliyev,kaliyar01,Jordan Spence,spencjo01,Trevor Moore,mooretr01
202311240ANA,ANA,LAK,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202311240ANA,ANA,LAK,2nd Period,1:17,LAK,--,Quinton Byfield,byfiequ01,Vladislav Gavrikov,gavrivl01,Adrian Kempe,kempead01
202311240ANA,ANA,LAK,2nd Period,2:56,LAK,--,Kevin Fiala,fialake01,Phillip Danault,danauph01,Trevor Moore,mooretr01
202311240ANA,ANA,LAK,2nd Period,12:42,ANA,--,Radko Gudas,gudasra01,Frank Vatrano,vatrafr01,Ryan Strome,stromry01
202311240ANA,ANA,LAK,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202311240ANA,ANA,LAK,3rd Period,3:21,LAK,--,Anže Kopitar,kopitan01,Adrian Kempe,kempead01,Drew Doughty,doughdr01
202311240ANA,ANA,LAK,3rd Period,11:24,ANA,PP,Alex Killorn,killoal01,Mason McTavish,mctavma01,Troy Terry,terrytr01
202311300ANA,ANA,WSH,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202311300ANA,ANA,WSH,1st Period,1:27,WSH,--,Anthony Mantha,manthan01,--,--,--,--
202311300ANA,ANA,WSH,1st Period,1:49,ANA,--,Tristan Luneau,luneatr01,--,--,--,--
202311300ANA,ANA,WSH,1st Period,7:51,ANA,--,Brett Leason,leasobr01,Leo Carlsson,carlsle01,Leo Carlsson,carlsle01
202311300ANA,ANA,WSH,1st Period,15:54,WSH,--,Tom Wilson,wilsoto01,--,--,--,--
202311300ANA,ANA,WSH,1st Period,18:39,WSH,PP,Tom Wilson,wilsoto01,Alex Ovechkin,ovechal01,John Carlson,carlsjo01
202311300ANA,ANA,WSH,1st Period,18:59,WSH,--,Nic Dowd,dowdni01,Rasmus Sandin,sandira01,Nicolas Aubé-Kubel,aubekni01
202311300ANA,ANA,WSH,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202311300ANA,ANA,WSH,3rd Period,11:45,ANA,--,Brock McGinn,mcginbr01,Brett Leason,leasobr01,Tristan Luneau,luneatr01
202311300ANA,ANA,WSH,3rd Period,14:22,WSH,PP,Tom Wilson,wilsoto01,Alex Ovechkin,ovechal01,John Carlson,carlsjo01
202311300ANA,ANA,WSH,3rd Period,19:32,ANA,--,Frank Vatrano,vatrafr01,Alex Killorn,killoal01,Alex Killorn,killoal01
202312020ANA,ANA,COL,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202312020ANA,ANA,COL,1st Period,0:36,COL,--,Bowen Byram,byrambo01,Miles Wood,woodmi01,Ross Colton,coltoro01
202312020ANA,ANA,COL,1st Period,8:59,COL,--,Bowen Byram,byrambo01,Fredrik Olofsson,olofsfr01,Josh Manson,mansojo01
202312020ANA,ANA,COL,1st Period,14:05,ANA,PP,Adam Henrique,henriad01,Ryan Strome,stromry01,Frank Vatrano,vatrafr01
202312020ANA,ANA,COL,1st Period,19:17,COL,--,Devon Toews,toewsde01,Mikko Rantanen,rantami01,Nathan MacKinnon,mackina01
202312020ANA,ANA,COL,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202312020ANA,ANA,COL,2nd Period,2:58,ANA,--,Leo Carlsson,carlsle01,Alex Killorn,killoal01,Alex Killorn,killoal01
202312020ANA,ANA,COL,2nd Period,10:22,ANA,PP,Alex Killorn,killoal01,Leo Carlsson,carlsle01,Pavel Mintyukov,mintypa01
202312100ANA,ANA,WPG,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202312100ANA,ANA,WPG,1st Period,16:07,ANA,PP,Alex Killorn,killoal01,Troy Terry,terrytr01,Max Jones,jonesma03
202312100ANA,ANA,WPG,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202312100ANA,ANA,WPG,3rd Period,1:15,ANA,--,Adam Henrique,henriad01,Jakob Silfverberg,silfvja01,Radko Gudas,gudasra01
202312100ANA,ANA,WPG,3rd Period,1:58,WPG,--,Nino Niederreiter,niedeni01,Vladislav Namestnikov,namesvl01,Brenden Dillon,dillobr01
202312100ANA,ANA,WPG,3rd Period,5:55,WPG,--,Morgan Barron,barromo01,Josh Morrissey,morrijo04,David Gustafsson,gustada01
202312100ANA,ANA,WPG,3rd Period,18:18,WPG,--,Gabriel Vilardi,vilarga01,Josh Morrissey,morrijo04,Dylan DeMelo,demeldy01
202312100ANA,ANA,WPG,3rd Period,19:31,WPG,EN,Mark Scheifele,scheima01,Nikolaj Ehlers,ehlerni01,Nikolaj Ehlers,ehlerni01
202312210ANA,ANA,CGY,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202312210ANA,ANA,CGY,1st Period,2:24,CGY,--,Nick DeSimone,desimni01,Connor Zary,zaryco01,Elias Lindholm,lindhel01
202312210ANA,ANA,CGY,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
