Game ID,Period,Time,Team,Player,Player_ID,Penalty,PIM
202312290ANA,3rd Period,0.55,ARI,Zach Sanford,sanfoza01,Holding,2 min
202312290ANA,3rd Period,5.45,ANA,Brett Leason,leasobr01,Boarding,2 min
,1st Period,,,,,,
202312310ANA,1st Period,14.33,EDM,Brett Kulak,kulakbr01,Interference,2 min
202312310ANA,1st Period,17.97,EDM,Mattias Janmark,janmama02,Cross Checking,2 min
202312310ANA,1st Period,17.97,EDM,Mattias Janmark,janmama02,Roughing,2 min
202312310ANA,1st Period,17.97,ANA,Ilya Lyubushkin,lyubuil01,Roughing,2 min
202312310ANA,1st Period,17.97,ANA,Ilya Lyubushkin,lyubuil01,Roughing,2 min
,2nd Period,,,,,,
202312310ANA,2nd Period,2.17,ANA,Ryan Strome,stromry01,Hooking,2 min
202312310ANA,2nd Period,12.5,EDM,Vincent Desharnais,deshavi01,Holding,2 min
202312310ANA,2nd Period,13.62,EDM,Mattias Ekholm,ekholma01,Hooking,2 min
202312310ANA,2nd Period,13.62,ANA,Ryan Strome,stromry01,Slashing,2 min
202312310ANA,2nd Period,20,ANA,Adam Henrique,henriad01,Holding,2 min
,3rd Period,,,,,,
202312310ANA,3rd Period,2.58,EDM,Mattias Ekholm,ekholma01,Fighting,5 min
202312310ANA,3rd Period,2.58,ANA,Ryan Strome,stromry01,Fighting,5 min
202312310ANA,3rd Period,10.57,EDM,Mattias Janmark,janmama02,Unsportsmanlike Conduct,2 min
202312310ANA,3rd Period,10.57,EDM,Mattias Janmark,janmama02,Misconduct,10 min
202312310ANA,3rd Period,15.82,ANA,Trevor Zegras,zegratr01,Misconduct,10 min
202312310ANA,3rd Period,15.82,ANA,Trevor Zegras,zegratr01,Spearing,4 min
202312310ANA,3rd Period,15.82,EDM,Leon Draisaitl,draisle01,Misconduct,10 min
202312310ANA,3rd Period,15.82,EDM,Leon Draisaitl,draisle01,Roughing,2 min
202312310ANA,3rd Period,17.12,EDM,Warren Foegele,foegewa01,Interference,2 min
202312310ANA,3rd Period,18.02,ANA,Pavel Mintyukov,mintypa01,Slashing,2 min
,1st Period,,,,,,
202401030ANA,1st Period,3,ANA,Jamie Drysdale,drysdja01,Slashing,2 min
,2nd Period,,,,,,
202401030ANA,2nd Period,6.62,ANA,Ilya Lyubushkin,lyubuil01,Instigator,2 min
202401030ANA,2nd Period,6.62,ANA,Ilya Lyubushkin,lyubuil01,Fighting,5 min
202401030ANA,2nd Period,6.62,ANA,Ilya Lyubushkin,lyubuil01,Instigator,10 min
202401030ANA,2nd Period,6.62,TOR,Bobby McMann,mcmanbo02,Boarding,5 min
202401030ANA,2nd Period,6.62,TOR,Bobby McMann,mcmanbo02,Fighting,5 min
202401030ANA,2nd Period,6.62,TOR,Bobby McMann,mcmanbo02,Misconduct,10 min
202401030ANA,2nd Period,10.95,ANA,Alex Killorn,killoal01,Roughing,2 min
202401030ANA,2nd Period,15.28,ANA,Bench,#N/A,Too Many Men on the Ice,2 min
,3rd Period,,,,,,
202401030ANA,3rd Period,0.73,TOR,Simon Benoit,benoisi01,High Sticking,2 min
202401030ANA,3rd Period,8.08,TOR,Tyler Bertuzzi,bertuty01,Roughing,2 min
202401030ANA,3rd Period,8.08,ANA,Frank Vatrano,vatrafr01,Roughing,2 min
202401030ANA,3rd Period,9.42,ANA,Max Jones,jonesma03,Slashing,2 min
202401030ANA,3rd Period,12.92,ANA,Jamie Drysdale,drysdja01,Cross Checking,2 min
,1st Period,,,,,,
202401050ANA,1st Period,2.43,WPG,Adam Lowry,lowryad01,Tripping,2 min
202401050ANA,1st Period,2.43,ANA,Frank Vatrano,vatrafr01,Unsportsmanlike Conduct,2 min
202401050ANA,1st Period,10.8,WPG,Mason Appleton,applema01,High Sticking,2 min
,3rd Period,,,,,,
202401050ANA,3rd Period,11.22,ANA,Radko Gudas,gudasra01,Holding,2 min
202401050ANA,3rd Period,16.7,WPG,Morgan Barron,barromo01,Holding,2 min
,1st Period,,,,,,
202401070ANA,1st Period,9.43,ANA,Jakob Silfverberg,silfvja01,Interference,2 min
202401070ANA,1st Period,13.25,ANA,Mason McTavish,mctavma01,Cross Checking,2 min
202401070ANA,1st Period,20,ANA,Radko Gudas,gudasra01,Interference,2 min
,2nd Period,,,,,,
202401070ANA,2nd Period,6.38,DET,Alex DeBrincat,debrial01,Hooking,2 min
202401070ANA,2nd Period,6.97,DET,J.T. Compher,comphj.01,Delay of Game,2 min
202401070ANA,2nd Period,11.62,DET,Patrick Kane,kanepa01,Unsportsmanlike Conduct,2 min
202401070ANA,2nd Period,19.55,DET,Moritz Seider,seidemo01,Holding,2 min
,3rd Period,,,,,,
202401070ANA,3rd Period,7.75,ANA,Frank Vatrano,vatrafr01,Holding,2 min
202401070ANA,3rd Period,16.05,ANA,Frank Vatrano,vatrafr01,High Sticking,2 min
,1st Period,,,,,,
202401210ANA,1st Period,0.62,NYR,K'Andre Miller,milleka01,High Sticking,2 min
202401210ANA,1st Period,5.98,ANA,Cam Fowler,fowleca01,Slashing,2 min
202401210ANA,1st Period,7.22,NYR,Vincent Trocheck,trochvi01,Illegal Check to Head,2 min
202401210ANA,1st Period,10.55,ANA,Mason McTavish,mctavma01,Holding,2 min
202401210ANA,1st Period,17.6,ANA,Urho Vaakanainen,vaakaur01,Hooking,2 min
202401210ANA,1st Period,19.15,NYR,Chris Kreider,kreidch01,Cross Checking,2 min
,3rd Period,,,,,,
202401210ANA,3rd Period,14.15,ANA,Mason McTavish,mctavma01,Tripping,2 min
,1st Period,,,,,,
202401230ANA,1st Period,16.55,ANA,Cam Fowler,fowleca01,Holding,2 min
,2nd Period,,,,,,
202401230ANA,2nd Period,1.88,BUF,Henri Jokiharju,jokihhe01,Tripping,2 min
202401230ANA,2nd Period,14.1,BUF,Mattias Samuelsson,samuema02,Tripping,2 min
202401230ANA,2nd Period,14.22,ANA,Mason McTavish,mctavma01,Unsportsmanlike Conduct,2 min
,3rd Period,,,,,,
202401230ANA,3rd Period,1.63,BUF,Henri Jokiharju,jokihhe01,Slashing,2 min
202401230ANA,3rd Period,14.03,ANA,Radko Gudas,gudasra01,Interference,2 min
202401230ANA,3rd Period,19.33,ANA,Sam Carrick,carrisa01,Misconduct,10 min
202401230ANA,3rd Period,19.33,ANA,Adam Henrique,henriad01,Misconduct,10 min
202401230ANA,3rd Period,19.33,BUF,Peyton Krebs,krebspe01,Interference,2 min
202401230ANA,3rd Period,19.33,BUF,Peyton Krebs,krebspe01,Roughing,2 min
202401230ANA,3rd Period,19.33,BUF,Peyton Krebs,krebspe01,Misconduct,10 min
202401230ANA,3rd Period,19.33,ANA,Mason McTavish,mctavma01,Roughing,2 min
202401230ANA,3rd Period,19.33,ANA,Mason McTavish,mctavma01,Misconduct,10 min
202401230ANA,3rd Period,19.33,BUF,Kyle Okposo,okposky01,Misconduct,10 min
,1st Period,,,,,,
202401310ANA,1st Period,5.73,ANA,Brett Leason,leasobr01,Tripping,2 min
202401310ANA,1st Period,11.32,ANA,Ryan Strome,stromry01,High Sticking,2 min
202401310ANA,1st Period,14.57,SJS,Calen Addison,addisca01,Slashing,2 min
202401310ANA,1st Period,18.78,SJS,Shakir Mukhamadullin,mukhash01,Tripping,2 min
,2nd Period,,,,,,
202401310ANA,2nd Period,19.32,ANA,Radko Gudas,gudasra01,Roughing,2 min
202401310ANA,2nd Period,19.32,SJS,Luke Kunin,kuninlu01,Roughing,2 min
,3rd Period,,,,,,
202401310ANA,3rd Period,5.13,SJS,William Eklund,eklunwi01,Hooking,2 min
202401310ANA,3rd Period,13.03,ANA,Ross Johnston,johnsro02,Cross Checking,2 min
202401310ANA,3rd Period,13.03,ANA,Ross Johnston,johnsro02,Misconduct,10 min
202401310ANA,3rd Period,15.2,SJS,Bench,#N/A,Too Many Men on the Ice,2 min
,1st Period,,,,,,
202402090ANA,1st Period,7.28,ANA,Jackson LaCombe,lacomja01,Slashing,2 min
202402090ANA,1st Period,16.97,EDM,Connor McDavid,mcdavco01,Interference,2 min
,3rd Period,,,,,,
202402090ANA,3rd Period,2.67,EDM,Evan Bouchard,bouchev01,High Sticking,2 min
202402090ANA,3rd Period,9.05,ANA,Leo Carlsson,carlsle01,Tripping,2 min
,1st Period,,,,,,
202402210ANA,1st Period,14.55,ANA,Cam Fowler,fowleca01,Cross Checking,2 min
,2nd Period,,,,,,
202402210ANA,2nd Period,2.87,ANA,Ross Johnston,johnsro02,Fighting,5 min
202402210ANA,2nd Period,2.87,CBJ,Mathieu Olivier,olivima01,Fighting,5 min
202402210ANA,2nd Period,12.85,CBJ,Cole Sillinger,sillico01,Holding,2 min
202402210ANA,2nd Period,17.6,CBJ,Boone Jenner,jennebo01,Tripping,2 min
202402210ANA,2nd Period,18.62,ANA,Ryan Strome,stromry01,Slashing,2 min
,3rd Period,,,,,,
