Game_ID,Home Team,Away Team,Period,Time,Team,Player,Player_ID,Penalty,PIM
202311170ANA,ANA,FLA,1st Period,5:10,FLA,Dmitry Kulikov,kulikdm01,Interference,2 min
202311170ANA,ANA,FLA,1st Period,19:58,ANA,Ryan Strome,stromry01,Slashing,2 min
202311170ANA,ANA,FLA,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202311170ANA,ANA,FLA,2nd Period,7:43,ANA,Ilya Lyubushkin,lyubuil01,Cross Checking,2 min
202311170ANA,ANA,FLA,2nd Period,10:09,FLA,Kevin Stenlund,stenlke01,Interference,2 min
202311170ANA,ANA,FLA,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202311170ANA,ANA,FLA,3rd Period,0:57,ANA,Jackson LaCombe,lacomja01,Tripping,2 min
202311170ANA,ANA,FLA,3rd Period,3:24,ANA,Mason McTavish,mctavma01,Roughing,2 min
202311170ANA,ANA,FLA,3rd Period,6:50,FLA,Aaron Ekblad,ekblaaa01,Tripping,2 min
202311190ANA,ANA,STL,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202311190ANA,ANA,STL,1st Period,12:13,ANA,Mason McTavish,mctavma01,High Sticking,4 min
202311190ANA,ANA,STL,1st Period,16:21,ANA,Pavel Mintyukov,mintypa01,Holding,2 min
202311190ANA,ANA,STL,1st Period,16:52,STL,Jakub Vrána,vranaja01,Interference,2 min
202311190ANA,ANA,STL,1st Period,18:11,STL,Kasperi Kapanen,kapanka01,Hooking,2 min
202311190ANA,ANA,STL,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202311190ANA,ANA,STL,2nd Period,10:23,ANA,Cam Fowler,fowleca01,Hooking,2 min
202311190ANA,ANA,STL,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202311190ANA,ANA,STL,3rd Period,6:14,ANA,Pavel Mintyukov,mintypa01,Hooking,2 min
202311190ANA,ANA,STL,3rd Period,19:49,ANA,Adam Henrique,henriad01,Tripping,2 min
202311220ANA,ANA,MTL,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202311220ANA,ANA,MTL,1st Period,3:53,ANA,Ilya Lyubushkin,lyubuil01,Illegal Equipment,2 min
202311220ANA,ANA,MTL,1st Period,11:08,ANA,Mason McTavish,mctavma01,Hooking,2 min
202311220ANA,ANA,MTL,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202311220ANA,ANA,MTL,2nd Period,0:48,MTL,Juraj Slafkovsky,slafkju01,Holding,2 min
202311220ANA,ANA,MTL,2nd Period,7:34,ANA,Max Jones,jonesma03,Elbowing,2 min
202311220ANA,ANA,MTL,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202311220ANA,ANA,MTL,3rd Period,15:10,ANA,Max Jones,jonesma03,Unsportsmanlike Conduct,2 min
202311220ANA,ANA,MTL,3rd Period,15:10,MTL,Sean Monahan,monahse01,Unsportsmanlike Conduct,2 min
202311240ANA,ANA,LAK,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202311240ANA,ANA,LAK,1st Period,6:44,LAK,Kevin Fiala,fialake01,Slashing,2 min
202311240ANA,ANA,LAK,1st Period,9:13,ANA,Bench,Bench,Too Many Men on the Ice,2 min
202311240ANA,ANA,LAK,1st Period,11:20,ANA,Radko Gudas,gudasra01,Interference,2 min
202311240ANA,ANA,LAK,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202311240ANA,ANA,LAK,2nd Period,3:32,ANA,Sam Carrick,carrisa01,Fighting,5 min
202311240ANA,ANA,LAK,2nd Period,3:32,LAK,Andreas Englund,engluan01,Fighting,5 min
202311240ANA,ANA,LAK,2nd Period,4:37,LAK,Michael Anderson,andermi02,Cross Checking,2 min
202311240ANA,ANA,LAK,2nd Period,4:37,LAK,Drew Doughty,doughdr01,Roughing,2 min
202311240ANA,ANA,LAK,2nd Period,4:37,LAK,Pierre-Luc Dubois,duboipi01,Interference,2 min
202311240ANA,ANA,LAK,2nd Period,4:37,ANA,Mason McTavish,mctavma01,Roughing,2 min
202311240ANA,ANA,LAK,2nd Period,4:37,ANA,Frank Vatrano,vatrafr01,Tripping,2 min
202311240ANA,ANA,LAK,2nd Period,4:37,ANA,Frank Vatrano,vatrafr01,Roughing,2 min
202311240ANA,ANA,LAK,2nd Period,14:49,ANA,Bench,Bench,Too Many Men on the Ice,2 min
202311240ANA,ANA,LAK,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202311240ANA,ANA,LAK,3rd Period,2:42,LAK,Andreas Englund,engluan01,Holding,2 min
202311240ANA,ANA,LAK,3rd Period,2:42,ANA,Radko Gudas,gudasra01,Roughing,2 min
202311240ANA,ANA,LAK,3rd Period,11:10,LAK,Trevor Lewis,lewistr01,Tripping,2 min
