Game_ID,Date,Team,Location,Opp,Result,Scorer,Scorer_ID,Assist1,Assist1_ID,Assist2,Assist2_ID,Goalie,Goalie_ID username,Per.,Time
202401310ANA,1/31/2024,SJS,@,ANA,L,Anthony Duclair,duclaan01,Shakir Mukhamadullin,mukhash01,Mike Hoffman,hoffmmi02,John Gibson,gibsojo02,1,6.98
202401310ANA,1/31/2024,SJS,@,ANA,L,Marc-Édouard Vlasic,vlasima01,Kyle Burroughs,burroky01,William Eklund,eklunwi01,John Gibson,gibsojo02,2,17.95
202402090ANA,2/9/2024,EDM,@,ANA,W,Evander Kane,kaneev01,Corey Perry,perryco01,--,--,John Gibson,gibsojo02,2,9.18
202402090ANA,2/9/2024,EDM,@,ANA,W,Evander Kane,kaneev01,Leon Draisaitl,draisle01,Brett Kulak,kulakbr01,John Gibson,gibsojo02,2,12.85
202402090ANA,2/9/2024,EDM,@,ANA,W,Zach Hyman,hymanza01,Connor McDavid,mcdavco01,--,--,Lukáš Dostál,dostalu01,3,8.68
202402090ANA,2/9/2024,EDM,@,ANA,W,Leon Draisaitl,draisle01,Connor McDavid,mcdavco01,Evan Bouchard,bouchev01,Lukáš Dostál,dostalu01,3,10.15
202402090ANA,2/9/2024,EDM,@,ANA,W,Evander Kane,kaneev01,Derek Ryan,ryande01,Connor McDavid,mcdavco01,EN,--,3,18.83
202402130MTL,2/13/2024,MTL,vs,ANA,W,Jake Evans,evansja02,Tanner Pearson,pearsta01,Josh Anderson,anderjo05,Lukáš Dostál,dostalu01,2,1.72
202402130MTL,2/13/2024,MTL,vs,ANA,W,Nick Suzuki,suzukni01,Juraj Slafkovsky,slafkju01,Jayden Struble,strubja01,Lukáš Dostál,dostalu01,2,9.62
202402130MTL,2/13/2024,MTL,vs,ANA,W,Nick Suzuki,suzukni01,Juraj Slafkovsky,slafkju01,Alex Newhook,newhoal01,Lukáš Dostál,dostalu01,2,17
202402130MTL,2/13/2024,MTL,vs,ANA,W,Juraj Slafkovsky,slafkju01,Nick Suzuki,suzukni01,Cole Caufield,caufico01,Lukáš Dostál,dostalu01,3,7.43
202402130MTL,2/13/2024,MTL,vs,ANA,W,Brandon Gignac,gignabr01,Kaiden Guhle,guhleka01,--,--,Lukáš Dostál,dostalu01,3,17.25
202402150OTT,2/15/2024,OTT,vs,ANA,L,Claude Giroux,giroucl01,-,,--,--,Lukáš Dostál,dostalu01,3,4.72
202402170TOR,2/17/2024,TOR,vs,ANA,W,Auston Matthews,matthau01,Matthew Knies,kniesma01,Mitch Marner,marnemi01,Lukáš Dostál,dostalu01,1,3.68
202402170TOR,2/17/2024,TOR,vs,ANA,W,Bobby McMann,mcmanbo02,Nicholas Robertson,roberni01,Maxime Lajoie,lajoima01,Lukáš Dostál,dostalu01,1,6.1
202402170TOR,2/17/2024,TOR,vs,ANA,W,Jake McCabe,mccabja01,William Nylander,nylanwi01,Max Domi,domima01,Lukáš Dostál,dostalu01,1,10.55
202402170TOR,2/17/2024,TOR,vs,ANA,W,William Nylander,nylanwi01,Timothy Liljegren,liljeti01,Auston Matthews,matthau01,Lukáš Dostál,dostalu01,1,17.62
202402170TOR,2/17/2024,TOR,vs,ANA,W,Auston Matthews,matthau01,Mitch Marner,marnemi01,William Nylander,nylanwi01,John Gibson,gibsojo02,2,0.83
202402170TOR,2/17/2024,TOR,vs,ANA,W,Tyler Bertuzzi,bertuty01,Auston Matthews,matthau01,Timothy Liljegren,liljeti01,John Gibson,gibsojo02,2,2.85
202402170TOR,2/17/2024,TOR,vs,ANA,W,Auston Matthews,matthau01,Matthew Knies,kniesma01,Jake McCabe,mccabja01,John Gibson,gibsojo02,2,5.65
202402170TOR,2/17/2024,TOR,vs,ANA,W,Bobby McMann,mcmanbo02,Max Domi,domima01,Timothy Liljegren,liljeti01,John Gibson,gibsojo02,2,17.97
202402170TOR,2/17/2024,TOR,vs,ANA,W,Nicholas Robertson,roberni01,Bobby McMann,mcmanbo02,--,--,John Gibson,gibsojo02,3,17.9
202402190BUF,2/19/2024,BUF,vs,ANA,L,Jordan Greenway,greenjo02,Dylan Cozens,cozendy01,--,--,John Gibson,gibsojo02,1,9.12
202402190BUF,2/19/2024,BUF,vs,ANA,L,Tage Thompson,thompta01,Rasmus Dahlin,dahlira01,Dylan Cozens,cozendy01,John Gibson,gibsojo02,2,8.17
202402190BUF,2/19/2024,BUF,vs,ANA,L,Zach Benson,bensoza01,Henri Jokiharju,jokihhe01,John-Jason Peterka,peterjo01,John Gibson,gibsojo02,2,15.33
