Game_ID,Home Team,Away Team,Goalie,Goalie_ID,Team,DEC,GA,SA,SV,SV%,SO,PIM,Goalie TOI
202402250BUF,BUF,CAR,Spencer Martin,martisp01,CAR,O,2,32,30,0.938,0,0,65:00:00
202402250BUF,BUF,CAR,Ukko-Pekka Luukkonen,luukkuk01,BUF,W,2,32,30,0.938,0,0,65:00:00
202403020BUF,BUF,VEG,Logan Thompson,thomplo01,VEG,L,7,35,28,0.8,0,0,59:58:00
202403020BUF,BUF,VEG,Ukko-Pekka Luukkonen,luukkuk01,BUF,W,2,24,22,0.917,0,0,60:00:00
202403030BUF,BUF,WPG,Laurent Brossoit,brossla01,WPG,W,2,19,17,0.895,0,0,59:49:00
202403030BUF,BUF,WPG,Ukko-Pekka Luukkonen,luukkuk01,BUF,L,3,33,30,0.909,0,0,59:29:00
202403030BUF,BUF,WPG,Empty Net,--,BUF,--,2,2,0,0,0,0,0
202403090BUF,BUF,EDM,Stuart Skinner,skinnst01,EDM,O,2,27,25,0.926,0,0,65:00:00
202403090BUF,BUF,EDM,Ukko-Pekka Luukkonen,luukkuk01,BUF,W,2,32,30,0.938,0,0,65:00:00
202403120BUF,BUF,DET,Alex Lyon,lyonal01,DET,L,4,13,9,0.692,0,0,15:29
202403120BUF,BUF,DET,James Reimer,reimeja01,DET,--,3,26,23,0.885,0,0,44:31:00
202403120BUF,BUF,DET,Ukko-Pekka Luukkonen,luukkuk01,BUF,W,3,24,21,0.875,0,0,59:10:00
202403140BUF,BUF,NYI,Ilya Sorokin,sorokil01,NYI,L,3,36,33,0.917,0,0,57:52:00
202403140BUF,BUF,NYI,Empty Net,--,NYI,--,1,1,0,0,0,0,0
202403140BUF,BUF,NYI,Ukko-Pekka Luukkonen,luukkuk01,BUF,W,0,21,21,1,1,0,60:00:00
202403270BUF,BUF,OTT,Joonas Korpisalo,korpijo01,OTT,W,2,36,34,0.944,0,0,60:00:00
202403270BUF,BUF,OTT,Ukko-Pekka Luukkonen,luukkuk01,BUF,L,4,9,5,0.556,0,0,8:49
202403270BUF,BUF,OTT,Devon Levi,levide01,BUF,--,1,32,31,0.969,0,0,50:14:00
202403270BUF,BUF,OTT,Empty Net,--,BUF,--,1,1,0,0,0,0,0
202403290BUF,BUF,NJD,Jake Allen,allenja01,NJD,L,3,34,31,0.912,0,0,58:23:00
202403290BUF,BUF,NJD,Empty Net,--,NJD,--,2,2,0,0,0,0,0
202403290BUF,BUF,NJD,Devon Levi,levide01,BUF,W,2,30,28,0.933,0,0,60:00:00
202403300BUF,BUF,TOR,Ilya Samsonov,samsoil01,TOR,W,0,34,34,1,1,0,60:00:00
202403300BUF,BUF,TOR,Ukko-Pekka Luukkonen,luukkuk01,BUF,L,3,22,19,0.864,0,0,56:48:00
202404020BUF,BUF,WSH,Charlie Lindgren,lindgch01,WSH,L,6,31,25,0.806,0,0,45:33:00
202404020BUF,BUF,WSH,Darcy Kuemper,kuempda01,WSH,--,0,4,4,1,0,0,14:19
202404020BUF,BUF,WSH,Ukko-Pekka Luukkonen,luukkuk01,BUF,W,2,26,24,0.923,0,0,60:00:00
202404050BUF,BUF,PHI,Ivan Fedotov,fedotiv01,PHI,L,4,19,15,0.789,0,0,55:42:00
202404050BUF,BUF,PHI,Ukko-Pekka Luukkonen,luukkuk01,BUF,W,2,34,32,0.941,0,0,60:00:00
202404110BUF,BUF,WSH,Charlie Lindgren,lindgch01,WSH,L,3,16,13,0.813,0,0,57:38:00
202404110BUF,BUF,WSH,Empty Net,--,WSH,--,1,1,0,0,0,0,0
202404110BUF,BUF,WSH,Ukko-Pekka Luukkonen,luukkuk01,BUF,W,2,24,22,0.917,0,0,60:00:00
202310110CAR,CAR,OTT,Joonas Korpisalo,korpijo01,OTT,L,5,42,37,0.881,0,0,59:25:00
202310110CAR,CAR,OTT,Frederik Andersen,anderfr01,CAR,W,3,30,27,0.9,0,0,60:00:00
202310260CAR,CAR,SEA,Joey Daccord,daccojo01,SEA,O,3,45,42,0.933,0,0,64:50:00
202310260CAR,CAR,SEA,Frederik Andersen,anderfr01,CAR,W,2,26,24,0.923,0,0,64:50:00
202310270CAR,CAR,SJS,Kaapo Kähkönen,kahkoka01,SJS,L,3,40,37,0.925,0,0,60:00:00
202310270CAR,CAR,SJS,Antti Raanta,raantan01,CAR,W,0,20,20,1,1,0,60:00:00
202311070CAR,CAR,BUF,Ukko-Pekka Luukkonen,luukkuk01,BUF,O,3,27,24,0.889,0,0,61:24:00
202311070CAR,CAR,BUF,Antti Raanta,raantan01,CAR,W,2,21,19,0.905,0,0,61:06:00
202311150CAR,CAR,PHI,Carter Hart,hartca01,PHI,W,1,32,31,0.969,0,0,60:00:00
