Game,Date,Game_ID,Team,Location,Opp,G,GA,Result,OT/SO,SOG,PIM,SOGA,PIMA,CF at Even Strength,CA at Even Strength,CF% at Even Strength,FF at Even Strength,FA at Even Strength,FF% at Even Strength,FOW at Even Strength,FOL at Even Strength
4,10/19/2023,202310190STL,ARI,@,STL,6,2,W,,42,14,26,8,56,36,60.90%,43,29,59.70%,37,28
5,10/21/2023,202310210ARI,ARI,vs,ANA,2,1,W,,27,15,33,19,43,43,50.00%,28,33,45.90%,18,12
6,10/24/2023,202310240LAK,ARI,@,LAK,3,6,L,,27,18,28,8,39,35,52.70%,28,28,50.00%,30,32
7,10/27/2023,202310270ARI,ARI,vs,LAK,4,5,L,,24,10,41,4,32,59,35.20%,25,42,37.30%,26,30
8,10/30/2023,202310300ARI,ARI,vs,CHI,8,1,W,,33,16,30,20,54,54,50.00%,47,37,56.00%,24,25
9,11/1/2023,202311010ANA,ARI,@,ANA,3,4,L,OT,35,25,29,15,55,32,63.20%,41,26,61.20%,27,17
10,11/2/2023,202311020ARI,ARI,vs,MTL,3,2,W,,35,10,30,8,58,42,58.00%,37,35,51.40%,15,28
11,11/4/2023,202311040ARI,ARI,vs,WPG,3,5,L,,25,6,27,6,37,56,39.80%,26,35,42.60%,18,22
12,11/7/2023,202311070ARI,ARI,vs,SEA,4,3,W,SO,27,10,38,12,41,59,41.00%,34,47,42.00%,24,27
13,11/9/2023,202311090STL,ARI,@,STL,1,2,L,,20,14,33,4,41,39,51.30%,29,32,47.50%,22,23
14,11/11/2023,202311110NSH,ARI,@,NSH,7,5,W,,25,8,42,8,39,56,41.10%,30,43,41.10%,20,19
15,11/14/2023,202311140DAL,ARI,@,DAL,3,4,L,OT,26,8,36,4,37,65,36.30%,28,45,38.40%,17,26
16,11/16/2023,202311160CBJ,ARI,@,CBJ,3,2,W,,32,6,41,4,50,78,39.10%,37,53,41.10%,20,27
17,11/18/2023,202311180WPG,ARI,@,WPG,2,5,L,,18,7,26,9,41,39,51.30%,25,33,43.10%,28,27
18,11/20/2023,202311200ARI,ARI,vs,LAK,1,4,L,,31,23,25,17,37,36,50.70%,24,27,47.10%,19,24
