Game,Date,Game_ID,Team,Location,Opp,G,GA,Result,OT/SO,SOG,PIM,SOGA,PIMA,CF at Even Strength,CA at Even Strength,CF% at Even Strength,FF at Even Strength,FA at Even Strength,FF% at Even Strength,FOW at Even Strength,FOL at Even Strength
81,4/13/2024,202404130PHI,NJD,@,PHI,0,1,L,,20,6,21,2,49,35,58.30%,26,27,49.10%,19,17
82,4/15/2024,202404150NJD,NJD,vs,NYI,1,4,L,,24,2,19,6,47,36,56.60%,27,28,49.10%,25,20
1,10/10/2023,202310100TBL,NSH,@,TBL,3,5,L,,31,10,34,8,48,44,52.20%,33,36,47.80%,19,25
2,10/12/2023,202310120NSH,NSH,vs,SEA,3,0,W,,35,6,23,8,58,49,54.20%,41,34,54.70%,24,15
3,10/14/2023,202310140BOS,NSH,@,BOS,2,3,L,,36,10,30,14,44,41,51.80%,35,24,59.30%,27,14
4,10/17/2023,202310170NSH,NSH,vs,EDM,1,6,L,,44,11,30,11,53,41,56.40%,44,33,57.10%,27,26
5,10/19/2023,202310190NYR,NSH,@,NYR,4,1,W,,27,8,24,8,40,44,47.60%,31,27,53.40%,18,20
6,10/21/2023,202310210NSH,NSH,vs,SJS,5,1,W,,34,9,32,15,41,44,48.20%,33,30,52.40%,17,24
7,10/24/2023,202310240NSH,NSH,vs,VAN,2,3,L,,18,2,24,6,31,62,33.30%,21,39,35.00%,22,21
8,10/28/2023,202310280NSH,NSH,vs,TOR,3,2,W,OT,24,8,35,10,43,54,44.30%,33,38,46.50%,18,26
9,10/31/2023,202310310VAN,NSH,@,VAN,2,5,L,,29,6,27,8,60,42,58.80%,48,31,60.80%,16,24
10,11/2/2023,202311020SEA,NSH,@,SEA,2,4,L,,34,10,31,10,46,47,49.50%,35,31,53.00%,23,16
11,11/4/2023,202311040EDM,NSH,@,EDM,5,2,W,,34,8,35,10,46,54,46.00%,39,41,48.80%,39,16
12,11/7/2023,202311070CGY,NSH,@,CGY,2,4,L,,18,6,39,4,35,67,34.30%,23,53,30.30%,26,31
13,11/9/2023,202311090WPG,NSH,@,WPG,3,6,L,,23,28,37,20,36,40,47.40%,27,29,48.20%,25,18
14,11/11/2023,202311110NSH,NSH,vs,ARI,5,7,L,,42,8,25,8,57,39,59.40%,43,30,58.90%,19,20
15,11/14/2023,202311140NSH,NSH,vs,ANA,2,3,L,,30,16,20,30,44,34,56.40%,28,26,51.90%,17,23
16,11/18/2023,202311180NSH,NSH,vs,CHI,4,2,W,,31,4,31,6,49,44,52.70%,40,31,56.30%,27,20
17,11/20/2023,202311200NSH,NSH,vs,COL,4,3,W,,30,10,29,8,54,38,58.70%,31,29,51.70%,18,17
18,11/22/2023,202311220NSH,NSH,vs,CGY,4,2,W,,45,18,26,20,53,39,57.60%,43,28,60.60%,23,23
19,11/24/2023,202311240STL,NSH,@,STL,8,3,W,,35,13,39,15,36,50,41.90%,31,37,45.60%,12,24
20,11/26/2023,202311260NSH,NSH,vs,WPG,3,2,W,,26,4,34,4,46,52,46.90%,35,39,47.30%,31,33
21,11/28/2023,202311280NSH,NSH,vs,PIT,3,2,W,OT,25,9,31,11,40,47,46.00%,27,39,40.90%,21,17
22,11/30/2023,202311300NSH,NSH,vs,MIN,1,6,L,,27,17,31,17,40,45,47.10%,29,38,43.30%,21,15
23,12/2/2023,202312020NSH,NSH,vs,NYR,3,4,L,,40,4,25,8,66,47,58.40%,47,32,59.50%,22,31
24,12/3/2023,202312030BUF,NSH,@,BUF,2,1,W,,29,2,35,4,55,67,45.10%,38,55,40.90%,31,20
25,12/5/2023,202312050CHI,NSH,@,CHI,4,3,W,SO,30,4,28,4,60,48,55.60%,40,34,54.10%,19,20
26,12/7/2023,202312070NSH,NSH,vs,TBL,5,1,W,,30,13,33,23,51,47,52.00%,36,35,50.70%,19,22
27,12/9/2023,202312090TOR,NSH,@,TOR,0,4,L,,18,15,37,11,34,43,44.20%,20,31,39.20%,14,20
28,12/10/2023,202312100MTL,NSH,@,MTL,2,1,W,,32,12,37,8,47,56,45.60%,32,44,42.10%,21,25
29,12/12/2023,202312120NSH,NSH,vs,PHI,3,2,W,OT,22,13,39,11,56,39,58.90%,31,32,49.20%,22,13
30,12/15/2023,202312150CAR,NSH,@,CAR,6,5,W,OT,30,6,31,6,47,59,44.30%,36,39,48.00%,25,33
31,12/16/2023,202312160NSH,NSH,vs,WSH,3,1,W,,23,8,22,6,35,42,45.50%,26,29,47.30%,12,20
32,12/19/2023,202312190NSH,NSH,vs,VAN,2,5,L,,28,26,35,4,51,40,56.00%,32,37,46.40%,20,24
33,12/21/2023,202312210PHI,NSH,@,PHI,4,2,W,,31,21,31,10,47,36,56.60%,36,27,57.10%,21,18
34,12/23/2023,202312230NSH,NSH,vs,DAL,2,3,L,,21,4,34,4,38,68,35.80%,25,42,37.30%,22,30
35,12/27/2023,202312270NSH,NSH,vs,CAR,2,5,L,,37,12,25,8,40,42,48.80%,32,26,55.20%,20,28
36,12/29/2023,202312290DET,NSH,@,DET,4,5,L,OT,37,11,23,11,69,50,58.00%,52,36,59.10%,25,27
37,12/30/2023,202312300WSH,NSH,@,WSH,3,2,W,SO,36,13,29,11,75,52,59.10%,54,39,58.10%,30,17
38,1/2/2024,202401020NSH,NSH,vs,CHI,3,0,W,,36,11,21,13,65,35,65.00%,44,27,62.00%,23,15
39,1/4/2024,202401040NSH,NSH,vs,CGY,3,6,L,,32,23,39,4,66,50,56.90%,44,37,54.30%,26,31
40,1/6/2024,202401060DAL,NSH,@,DAL,4,3,W,,22,4,29,2,48,63,43.20%,31,40,43.70%,21,32
41,1/9/2024,202401090NSH,NSH,vs,ANA,3,5,L,,42,11,33,11,60,42,58.80%,45,31,59.20%,30,30
42,1/12/2024,202401120DAL,NSH,@,DAL,6,3,W,,38,6,22,10,53,50,51.50%,42,33,56.00%,20,33
43,1/13/2024,202401130NSH,NSH,vs,NYI,3,1,W,,28,4,25,6,62,47,56.90%,38,28,57.60%,19,22
44,1/15/2024,202401150VEG,NSH,@,VEG,1,4,L,,35,4,29,8,62,64,49.20%,43,39,52.40%,16,25
45,1/18/2024,202401180LAK,NSH,@,LAK,2,1,W,,33,10,34,6,51,64,44.30%,38,45,45.80%,22,25
46,1/20/2024,202401200ARI,NSH,@,ARI,2,3,L,,32,4,24,12,49,49,50.00%,35,37,48.60%,17,24
47,1/22/2024,202401220NSH,NSH,vs,FLA,1,4,L,,27,13,38,15,40,55,42.10%,26,39,40.00%,26,19
48,1/25/2024,202401250MIN,NSH,@,MIN,3,2,W,,29,20,24,26,57,34,62.60%,39,21,65.00%,23,25
49,1/27/2024,202401270EDM,NSH,@,EDM,1,4,L,,29,6,21,6,57,42,57.60%,42,30,58.30%,21,20
50,1/29/2024,202401290OTT,NSH,@,OTT,3,4,L,OT,28,8,35,8,51,58,46.80%,28,45,38.40%,27,29
51,1/31/2024,202401310NSH,NSH,vs,LAK,2,4,L,,42,4,24,8,61,43,58.70%,48,30,61.50%,24,17
52,2/10/2024,202402100NSH,NSH,vs,ARI,5,4,W,OT,37,10,31,12,57,45,55.90%,39,33,54.20%,23,24
53,2/13/2024,202402130NSH,NSH,vs,NJD,2,4,L,,32,6,47,6,49,88,35.80%,35,63,35.70%,20,24
54,2/15/2024,202402150NSH,NSH,vs,DAL,2,9,L,,29,16,41,4,52,57,47.70%,37,47,44.00%,32,23
55,2/17/2024,202402170STL,NSH,@,STL,5,2,W,,33,8,37,8,51,53,49.00%,38,39,49.40%,25,15
56,2/20/2024,202402200VEG,NSH,@,VEG,5,3,W,,40,8,26,8,66,29,69.50%,49,22,69.00%,25,22
57,2/22/2024,202402220LAK,NSH,@,LAK,4,1,W,,21,8,28,8,35,52,40.20%,25,35,41.70%,18,24
58,2/24/2024,202402240SJS,NSH,@,SJS,4,2,W,,35,4,25,6,61,38,61.60%,44,27,62.00%,25,20
59,2/25/2024,202402250ANA,NSH,@,ANA,4,2,W,,29,11,31,13,50,54,48.10%,32,36,47.10%,22,17
60,2/27/2024,202402270NSH,NSH,vs,OTT,4,1,W,,36,9,25,11,67,40,62.60%,45,28,61.60%,31,25
61,2/29/2024,202402290NSH,NSH,vs,MIN,6,1,W,,31,15,34,13,46,45,50.50%,36,37,49.30%,25,20
62,3/2/2024,202403020NSH,NSH,vs,COL,5,1,W,,35,4,26,8,68,42,61.80%,48,31,60.80%,23,19
63,3/5/2024,202403050NSH,NSH,vs,MTL,3,4,L,OT,28,9,30,9,45,52,46.40%,31,35,47.00%,30,27
64,3/7/2024,202403070NSH,NSH,vs,BUF,4,2,W,,24,6,28,6,54,38,58.70%,43,24,64.20%,27,21
65,3/9/2024,202403090CBJ,NSH,@,CBJ,2,1,W,,49,4,34,6,58,52,52.70%,49,38,56.30%,34,23
66,3/10/2024,202403100MIN,NSH,@,MIN,3,4,L,OT,30,14,33,14,59,46,56.20%,39,34,53.40%,27,22
67,3/13/2024,202403130WPG,NSH,@,WPG,4,2,W,,38,6,29,6,56,38,59.60%,45,31,59.20%,30,31
68,3/16/2024,202403160SEA,NSH,@,SEA,4,1,W,,30,4,24,6,52,52,50.00%,40,36,52.60%,23,21
69,3/19/2024,202403190NSH,NSH,vs,SJS,8,2,W,,40,2,20,4,57,49,53.80%,44,28,61.10%,31,17
70,3/21/2024,202403210FLA,NSH,@,FLA,3,0,W,,37,14,33,16,56,53,51.40%,41,40,50.60%,27,22
71,3/23/2024,202403230NSH,NSH,vs,DET,1,0,W,,32,13,22,9,59,43,57.80%,43,30,58.90%,22,25
72,3/26/2024,202403260NSH,NSH,vs,VEG,5,4,W,OT,35,4,35,4,61,61,50.00%,44,41,51.80%,23,26
73,3/28/2024,202403280ARI,NSH,@,ARI,4,8,L,,37,11,40,9,67,59,53.20%,51,47,52.00%,24,25
74,3/30/2024,202403300COL,NSH,@,COL,4,7,L,,35,23,42,10,55,52,51.40%,41,35,53.90%,26,25
75,4/2/2024,202404020NSH,NSH,vs,BOS,0,3,L,,31,4,32,8,63,44,58.90%,42,35,54.50%,27,14
76,4/4/2024,202404040NSH,NSH,vs,STL,6,3,W,,31,16,47,10,43,60,41.70%,30,50,37.50%,22,21
77,4/6/2024,202404060NYI,NSH,@,NYI,0,2,L,,42,2,30,6,81,44,64.80%,53,36,59.60%,17,20
78,4/7/2024,202404070NJD,NSH,@,NJD,3,2,W,SO,35,4,25,8,59,45,56.70%,44,37,54.30%,30,26
79,4/9/2024,202404090NSH,NSH,vs,WPG,3,4,L,OT,48,11,22,13,62,38,62.00%,47,26,64.40%,26,20
80,4/12/2024,202404120CHI,NSH,@,CHI,5,1,W,,40,10,26,8,57,40,58.80%,45,29,60.80%,31,13
81,4/13/2024,202404130NSH,NSH,vs,CBJ,6,4,W,,37,7,37,11,52,64,44.80%,48,46,51.10%,32,34
82,4/15/2024,202404150PIT,NSH,@,PIT,2,4,L,,30,20,38,4,55,58,48.70%,41,42,49.40%,19,25
1,10/14/2023,202310140NYI,NYI,vs,BUF,3,2,W,,29,4,28,6,50,48,51.00%,35,35,50.00%,37,20
2,10/17/2023,202310170NYI,NYI,vs,ARI,1,0,W,,34,8,14,8,55,37,59.80%,43,27,61.40%,25,15
3,10/20/2023,202310200NYI,NYI,vs,NJD,4,5,L,OT,32,12,39,6,43,61,41.30%,36,38,48.60%,28,22
4,10/21/2023,202310210BUF,NYI,@,BUF,1,3,L,,25,11,42,11,38,66,36.50%,28,46,37.80%,10,28
5,10/24/2023,202310240NYI,NYI,vs,COL,4,7,L,,32,10,38,12,43,58,42.60%,35,42,45.50%,31,18
6,10/26/2023,202310260NYI,NYI,vs,OTT,3,2,W,,38,21,47,15,54,54,50.00%,35,40,46.70%,23,24
7,10/28/2023,202310280CBJ,NYI,@,CBJ,2,0,W,,34,6,34,6,58,55,51.30%,47,41,53.40%,17,10
8,10/30/2023,202310300NYI,NYI,vs,DET,3,4,L,OT,40,14,36,4,62,63,49.60%,51,47,52.00%,28,28
9,11/2/2023,202311020WSH,NYI,@,WSH,3,0,W,,21,6,32,4,38,69,35.50%,32,51,38.60%,21,20
10,11/4/2023,202311040NYI,NYI,vs,CAR,3,4,L,OT,25,8,46,4,35,88,28.50%,29,64,31.20%,25,32
11,11/7/2023,202311070NYI,NYI,vs,MIN,2,4,L,,29,12,31,14,50,43,53.80%,33,33,50.00%,22,20
12,11/9/2023,202311090BOS,NYI,@,BOS,2,5,L,,29,6,35,2,55,48,53.40%,36,34,51.40%,28,18
13,11/11/2023,202311110NYI,NYI,vs,WSH,1,4,L,,37,2,28,2,95,43,68.80%,64,32,66.70%,23,23
14,11/13/2023,202311130EDM,NYI,@,EDM,1,4,L,,33,6,32,6,51,57,47.20%,41,37,52.60%,31,37
15,11/15/2023,202311150VAN,NYI,@,VAN,3,4,L,OT,33,12,43,4,51,61,45.50%,36,49,42.40%,23,35
16,11/16/2023,202311160SEA,NYI,@,SEA,3,4,L,SO,23,10,32,12,49,50,49.50%,31,40,43.70%,16,23
17,11/18/2023,202311180CGY,NYI,@,CGY,5,4,W,SO,33,6,39,6,59,72,45.00%,42,51,45.20%,25,21
18,11/22/2023,202311220NYI,NYI,vs,PHI,3,2,W,,25,4,36,6,45,77,36.90%,32,51,38.60%,31,23
19,11/24/2023,202311240OTT,NYI,@,OTT,5,3,W,,26,6,31,2,47,70,40.20%,29,41,41.40%,32,21
20,11/25/2023,202311250NYI,NYI,vs,PHI,0,1,L,SO,25,2,40,6,59,70,45.70%,36,48,42.90%,31,26
21,11/28/2023,202311280NJD,NYI,@,NJD,4,5,L,,26,13,33,13,33,60,35.50%,28,42,40.00%,16,25
22,11/30/2023,202311300CAR,NYI,@,CAR,5,4,W,OT,16,6,43,8,35,85,29.20%,24,57,29.60%,30,24
23,12/2/2023,202312020FLA,NYI,@,FLA,4,3,W,,27,4,45,4,47,84,35.90%,31,60,34.10%,22,35
24,12/5/2023,202312050NYI,NYI,vs,SJS,4,5,L,OT,39,4,37,6,72,58,55.40%,52,39,57.10%,33,27
25,12/7/2023,202312070NYI,NYI,vs,CBJ,7,3,W,,36,2,35,4,53,66,44.50%,38,45,45.80%,28,31
26,12/9/2023,202312090NYI,NYI,vs,LAK,3,2,W,OT,30,15,35,13,45,51,46.90%,35,33,51.50%,21,25
27,12/11/2023,202312110NYI,NYI,vs,TOR,4,3,W,OT,29,2,40,2,61,67,47.70%,48,52,48.00%,25,29
28,12/13/2023,202312130NYI,NYI,vs,ANA,4,3,W,,35,4,24,8,55,39,58.50%,42,28,60.00%,29,27
29,12/15/2023,202312150NYI,NYI,vs,BOS,4,5,L,SO,37,6,34,8,50,54,48.10%,42,39,51.90%,36,28
30,12/16/2023,202312160MTL,NYI,@,MTL,3,5,L,,33,4,41,2,55,59,48.20%,37,45,45.10%,15,31
31,12/19/2023,202312190NYI,NYI,vs,EDM,3,1,W,,21,8,31,8,27,61,30.70%,20,45,30.80%,11,16
32,12/20/2023,202312200WSH,NYI,@,WSH,2,3,L,OT,32,6,36,6,51,48,51.50%,36,37,49.30%,16,19
33,12/23/2023,202312230CAR,NYI,@,CAR,5,4,W,,28,10,40,8,41,75,35.30%,33,54,37.90%,27,30
34,12/27/2023,202312270NYI,NYI,vs,PIT,0,7,L,,22,6,32,4,44,49,47.30%,32,37,46.40%,23,27
35,12/29/2023,202312290NYI,NYI,vs,WSH,5,1,W,,32,4,27,6,61,44,58.10%,46,36,56.10%,25,17
36,12/31/2023,202312310PIT,NYI,@,PIT,1,3,L,,38,25,38,11,61,70,46.60%,45,47,48.90%,23,30
37,1/2/2024,202401020COL,NYI,@,COL,4,5,L,OT,22,10,39,6,36,68,34.60%,24,46,34.30%,21,21
38,1/4/2024,202401040ARI,NYI,@,ARI,5,1,W,,31,4,27,4,44,50,46.80%,34,35,49.30%,27,16
39,1/6/2024,202401060VEG,NYI,@,VEG,2,5,L,,29,2,30,4,53,57,48.20%,34,40,45.90%,27,23
40,1/9/2024,202401090NYI,NYI,vs,VAN,2,5,L,,20,8,34,4,32,48,40.00%,24,36,40.00%,23,16
41,1/11/2024,202401110NYI,NYI,vs,TOR,4,3,W,OT,30,2,35,6,54,60,47.40%,34,41,45.30%,21,23
42,1/13/2024,202401130NSH,NYI,@,NSH,1,3,L,,25,6,28,4,48,59,44.90%,28,38,42.40%,22,19
43,1/15/2024,202401150MIN,NYI,@,MIN,0,5,L,,21,12,40,10,35,45,43.80%,26,37,41.30%,22,22
44,1/16/2024,202401160WPG,NYI,@,WPG,2,4,L,,37,10,44,4,54,50,51.90%,43,43,50.00%,21,25
45,1/19/2024,202401190CHI,NYI,@,CHI,3,4,L,OT,30,6,24,6,70,48,59.30%,45,33,57.70%,29,27
46,1/21/2024,202401210NYI,NYI,vs,DAL,3,2,W,OT,28,6,43,0,45,67,40.20%,35,49,41.70%,21,31
47,1/23/2024,202401230NYI,NYI,vs,VEG,2,3,L,,42,6,27,6,68,33,67.30%,52,27,65.80%,22,20
48,1/25/2024,202401250MTL,NYI,@,MTL,3,4,L,,46,10,26,25,58,25,69.90%,46,19,70.80%,16,12
49,1/27/2024,202401270NYI,NYI,vs,FLA,2,3,L,OT,23,8,37,2,46,52,46.90%,38,35,52.10%,27,29
50,2/5/2024,202402050TOR,NYI,@,TOR,3,2,W,,29,11,36,11,58,67,46.40%,41,49,45.60%,23,19
51,2/8/2024,202402080NYI,NYI,vs,TBL,6,2,W,,24,4,20,8,32,45,41.60%,21,26,44.70%,14,21
52,2/10/2024,202402100NYI,NYI,vs,CGY,2,5,L,,36,6,24,6,67,51,56.80%,48,37,56.50%,27,28
53,2/13/2024,202402130NYI,NYI,vs,SEA,1,2,L,SO,27,4,30,8,47,66,41.60%,32,41,43.80%,30,14
54,2/18/2024,202402180NYI,NYI,vs,NYR,5,6,L,OT,41,17,38,11,61,47,56.50%,49,34,59.00%,37,20
55,2/20/2024,202402200PIT,NYI,@,PIT,5,4,W,OT,33,6,41,4,44,55,44.40%,30,46,39.50%,24,29
56,2/22/2024,202402220STL,NYI,@,STL,0,4,L,,38,12,25,12,29,31,48.30%,25,24,51.00%,24,12
57,2/24/2024,202402240NYI,NYI,vs,TBL,2,4,L,,34,6,21,10,42,48,46.70%,32,32,50.00%,20,22
58,2/26/2024,202402260DAL,NYI,@,DAL,3,2,W,OT,28,2,32,6,53,64,45.30%,37,39,48.70%,24,27
59,2/29/2024,202402290DET,NYI,@,DET,5,3,W,,27,4,25,6,41,55,42.70%,31,37,45.60%,26,20
60,3/2/2024,202403020NYI,NYI,vs,BOS,5,1,W,,26,6,23,8,39,38,50.60%,29,28,50.90%,27,17
61,3/5/2024,202403050NYI,NYI,vs,STL,4,2,W,,33,2,21,0,68,37,64.80%,49,24,67.10%,26,13
62,3/7/2024,202403070SJS,NYI,@,SJS,7,2,W,,33,4,25,6,56,51,52.30%,37,37,50.00%,34,27
63,3/10/2024,202403100ANA,NYI,@,ANA,6,1,W,,19,6,23,12,36,39,48.00%,26,28,48.10%,19,18
64,3/11/2024,202403110LAK,NYI,@,LAK,0,3,L,,26,6,25,10,40,45,47.10%,27,33,45.00%,24,17
65,3/14/2024,202403140BUF,NYI,@,BUF,0,4,L,,21,13,37,13,33,45,42.30%,24,36,40.00%,15,19
66,3/16/2024,202403160NYI,NYI,vs,OTT,3,4,L,OT,33,6,30,6,56,48,53.80%,34,35,49.30%,25,25
67,3/17/2024,202403170NYR,NYI,@,NYR,2,5,L,,27,2,31,6,51,68,42.90%,38,47,44.70%,18,25
68,3/19/2024,202403190NYI,NYI,vs,CAR,1,4,L,,31,7,34,7,51,55,48.10%,38,40,48.70%,16,23
69,3/21/2024,202403210DET,NYI,@,DET,3,6,L,,36,4,24,8,50,35,58.80%,37,28,56.90%,31,22
70,3/23/2024,202403230NYI,NYI,vs,WPG,6,3,W,,39,7,35,7,66,68,49.30%,50,56,47.20%,33,22
71,3/24/2024,202403240NYI,NYI,vs,NJD,0,4,L,,36,28,30,29,51,49,51.00%,37,29,56.10%,15,23
72,3/28/2024,202403280FLA,NYI,@,FLA,3,2,W,,24,2,28,12,29,56,34.10%,26,34,43.30%,20,19
73,3/30/2024,202403300TBL,NYI,@,TBL,1,4,L,,28,4,40,4,62,67,48.10%,44,50,46.80%,26,35
74,4/1/2024,202404010PHI,NYI,@,PHI,4,3,W,OT,27,4,34,4,56,64,46.70%,36,41,46.80%,24,21
75,4/2/2024,202404020NYI,NYI,vs,CHI,2,1,W,,29,7,19,9,55,37,59.80%,40,25,61.50%,25,17
76,4/4/2024,202404040CBJ,NYI,@,CBJ,4,2,W,,41,2,27,6,73,43,62.90%,54,29,65.10%,31,19
77,4/6/2024,202404060NYI,NYI,vs,NSH,2,0,W,,30,6,42,2,44,81,35.20%,36,53,40.40%,20,17
78,4/9/2024,202404090NYI,NYI,vs,NYR,4,2,W,,28,6,33,14,42,79,34.70%,36,47,43.40%,28,29
79,4/11/2024,202404110NYI,NYI,vs,MTL,3,2,W,OT,31,5,14,13,66,29,69.50%,47,19,71.20%,22,19
80,4/13/2024,202404130NYR,NYI,@,NYR,2,3,L,SO,36,2,43,10,61,74,45.20%,48,55,46.60%,19,26
81,4/15/2024,202404150NJD,NYI,@,NJD,4,1,W,,19,6,24,2,37,46,44.60%,28,27,50.90%,20,25
82,4/17/2024,202404170NYI,NYI,vs,PIT,5,4,W,,32,4,44,6,51,76,40.20%,39,54,41.90%,23,37
1,10/12/2023,202310120BUF,NYR,@,BUF,5,1,W,,31,8,25,10,45,42,51.70%,35,28,55.60%,30,20
2,10/14/2023,202310140CBJ,NYR,@,CBJ,3,5,L,,42,2,21,6,80,40,66.70%,56,30,65.10%,29,24
3,10/16/2023,202310160NYR,NYR,vs,ARI,2,1,W,,28,38,27,44,51,37,58.00%,36,26,58.10%,18,22
4,10/19/2023,202310190NYR,NYR,vs,NSH,1,4,L,,24,8,27,8,45,40,52.90%,27,31,46.60%,20,18
5,10/21/2023,202310210SEA,NYR,@,SEA,4,1,W,,27,15,19,21,44,42,51.20%,36,29,55.40%,28,20
6,10/24/2023,202310240CGY,NYR,@,CGY,3,1,W,,20,8,26,10,29,54,34.90%,21,36,36.80%,12,25
7,10/26/2023,202310260EDM,NYR,@,EDM,3,0,W,,32,4,29,6,49,60,45.00%,39,43,47.60%,25,20
8,10/28/2023,202310280VAN,NYR,@,VAN,4,3,W,OT,24,12,33,12,28,43,39.40%,20,32,38.50%,23,12
9,10/30/2023,202310300WPG,NYR,@,WPG,3,2,W,OT,26,6,29,6,37,57,39.40%,27,37,42.20%,24,21
10,11/2/2023,202311020NYR,NYR,vs,CAR,2,1,W,,26,4,27,10,38,58,39.60%,28,38,42.40%,22,28
11,11/4/2023,202311040MIN,NYR,@,MIN,4,5,L,SO,18,8,39,2,38,76,33.30%,25,49,33.80%,24,12
12,11/7/2023,202311070NYR,NYR,vs,DET,5,3,W,,32,12,28,6,52,36,59.10%,44,30,59.50%,22,13
13,11/9/2023,202311090NYR,NYR,vs,MIN,4,1,W,,28,7,26,7,50,59,45.90%,38,44,46.30%,26,16
14,11/12/2023,202311120NYR,NYR,vs,CBJ,4,3,W,SO,40,6,28,10,73,49,59.80%,52,37,58.40%,42,19
15,11/18/2023,202311180NJD,NYR,@,NJD,5,3,W,,35,2,33,6,54,64,45.80%,38,45,45.80%,22,20
16,11/20/2023,202311200DAL,NYR,@,DAL,3,6,L,,33,6,36,8,46,61,43.00%,39,43,47.60%,22,21
17,11/22/2023,202311220PIT,NYR,@,PIT,1,0,W,,36,10,32,6,49,61,44.50%,38,42,47.50%,24,25
18,11/24/2023,202311240PHI,NYR,@,PHI,3,1,W,,19,34,37,16,39,42,48.10%,26,30,46.40%,20,19
19,11/25/2023,202311250NYR,NYR,vs,BOS,7,4,W,,40,6,31,6,66,48,57.90%,51,35,59.30%,38,22
20,11/27/2023,202311270NYR,NYR,vs,BUF,1,5,L,,26,4,39,6,43,56,43.40%,28,41,40.60%,28,12
21,11/29/2023,202311290NYR,NYR,vs,DET,3,2,W,,41,14,27,8,65,40,61.90%,45,27,62.50%,24,11
22,12/2/2023,202312020NSH,NYR,@,NSH,4,3,W,,25,8,40,4,48,62,43.60%,32,47,40.50%,31,22
23,12/3/2023,202312030NYR,NYR,vs,SJS,6,5,W,,36,4,28,6,56,52,51.90%,40,40,50.00%,27,23
24,12/5/2023,202312050OTT,NYR,@,OTT,2,6,L,,35,11,36,13,42,56,42.90%,33,39,45.80%,29,19
25,12/9/2023,202312090WSH,NYR,@,WSH,0,4,L,,31,11,29,7,52,42,55.30%,41,34,54.70%,20,28
26,12/10/2023,202312100NYR,NYR,vs,LAK,4,1,W,,27,22,26,26,36,35,50.70%,24,28,46.20%,22,12
27,12/12/2023,202312120NYR,NYR,vs,TOR,3,7,L,,31,10,30,8,67,41,62.00%,47,32,59.50%,24,23
28,12/15/2023,202312150NYR,NYR,vs,ANA,5,1,W,,39,6,30,32,50,49,50.50%,36,42,46.20%,24,22
29,12/16/2023,202312160BOS,NYR,@,BOS,2,1,W,OT,34,15,22,30,43,42,50.60%,33,29,53.20%,18,16
30,12/19/2023,202312190TOR,NYR,@,TOR,5,2,W,,36,0,33,4,54,61,47.00%,37,46,44.60%,21,21
31,12/22/2023,202312220NYR,NYR,vs,EDM,3,4,L,,34,4,28,6,60,45,57.10%,36,32,52.90%,18,29
32,12/23/2023,202312230NYR,NYR,vs,BUF,4,3,W,OT,33,7,30,33,52,55,48.60%,37,42,46.80%,25,25
33,12/27/2023,202312270NYR,NYR,vs,WSH,5,1,W,,31,4,27,6,41,48,46.10%,36,37,49.30%,17,17
34,12/29/2023,202312290FLA,NYR,@,FLA,3,4,L,,34,6,33,4,53,61,46.50%,42,39,51.90%,19,30
35,12/30/2023,202312300TBL,NYR,@,TBL,5,1,W,,21,10,35,8,38,66,36.50%,30,46,39.50%,24,26
36,1/2/2024,202401020NYR,NYR,vs,CAR,1,6,L,,29,8,27,6,42,37,53.20%,34,28,54.80%,23,23
37,1/4/2024,202401040NYR,NYR,vs,CHI,4,1,W,,32,11,23,9,62,44,58.50%,47,28,62.70%,27,14
38,1/6/2024,202401060MTL,NYR,@,MTL,3,4,L,SO,48,4,30,6,66,53,55.50%,46,39,54.10%,20,18
39,1/8/2024,202401080NYR,NYR,vs,VAN,3,6,L,,42,0,26,4,57,47,54.80%,46,38,54.80%,31,23
40,1/11/2024,202401110STL,NYR,@,STL,2,5,L,,43,8,20,6,66,32,67.30%,44,21,67.70%,16,16
41,1/13/2024,202401130WSH,NYR,@,WSH,2,3,L,,27,10,21,10,55,44,55.60%,35,31,53.00%,34,15
42,1/14/2024,202401140NYR,NYR,vs,WSH,2,1,W,,31,6,25,12,37,52,41.60%,28,30,48.30%,13,26
43,1/16/2024,202401160NYR,NYR,vs,SEA,5,2,W,,23,4,31,4,45,63,41.70%,36,48,42.90%,25,12
44,1/18/2024,202401180VEG,NYR,@,VEG,1,5,L,,30,6,26,6,59,36,62.10%,39,23,62.90%,17,20
45,1/20/2024,202401200LAK,NYR,@,LAK,1,2,L,,23,2,26,6,41,52,44.10%,28,35,44.40%,18,24
46,1/21/2024,202401210ANA,NYR,@,ANA,5,2,W,,33,6,18,8,72,26,73.50%,46,18,71.90%,23,27
47,1/23/2024,202401230SJS,NYR,@,SJS,2,3,L,OT,31,6,22,6,51,45,53.10%,38,31,55.10%,28,18
48,1/26/2024,202401260NYR,NYR,vs,VEG,2,5,L,,38,4,20,4,71,41,63.40%,49,31,61.30%,26,24
49,1/27/2024,202401270OTT,NYR,@,OTT,7,2,W,,29,14,31,28,50,57,46.70%,34,43,44.20%,28,23
50,2/5/2024,202402050NYR,NYR,vs,COL,2,1,W,OT,29,8,33,4,51,53,49.00%,37,43,46.30%,22,17
51,2/7/2024,202402070NYR,NYR,vs,TBL,3,1,W,,24,2,18,4,43,55,43.90%,35,33,51.50%,14,17
