Season,Date,Game_ID,Player,Player_ID,Team,Location,Opp,Result,GA,SA,SV,SV%,TOI
2023-24,3/21/2024,202403210CAR,Frederik Andersen,anderfr01,CAR,vs,PHI,W,2,32,30,94.00%,61.20
2023-24,3/24/2024,202403240CAR,Frederik Andersen,anderfr01,CAR,vs,TOR,W,1,33,32,97.00%,59.28
2023-24,3/28/2024,202403280CAR,Frederik Andersen,anderfr01,CAR,vs,DET,W,0,24,24,100.00%,60.00
2023-24,4/4/2024,202404040CAR,Frederik Andersen,anderfr01,CAR,vs,BOS,L,3,27,24,89.00%,59.52
2023-24,4/7/2024,202404070CAR,Frederik Andersen,anderfr01,CAR,vs,CBJ,W,0,23,23,100.00%,60.00
2023-24,4/12/2024,202404120STL,Frederik Andersen,anderfr01,CAR,@,STL,W,2,31,29,94.00%,59.93
2023-24,1/16/2024,202401160OTT,Justus Annunen,annunju01,COL,@,OTT,W,4,40,36,90.00%,60.00
2023-24,2/6/2024,202402060NJD,Justus Annunen,annunju01,COL,@,NJD,L,4,30,26,87.00%,58.67
2023-24,2/15/2024,202402150TBL,Justus Annunen,annunju01,COL,@,TBL,L,4,37,33,89.00%,57.63
2023-24,2/22/2024,202402220DET,Justus Annunen,annunju01,COL,@,DET,L-OT,2,30,28,93.00%,63.70
2023-24,2/29/2024,202402290CHI,Justus Annunen,annunju01,COL,@,CHI,W,0,24,24,100.00%,60.00
2023-24,3/4/2024,202403040COL,Justus Annunen,annunju01,COL,vs,CHI,W,0,37,37,100.00%,59.92
2023-24,3/12/2024,202403120CGY,Justus Annunen,annunju01,COL,@,CGY,W,2,27,25,93.00%,59.95
2023-24,3/19/2024,202403190STL,Justus Annunen,annunju01,COL,@,STL,W,3,33,30,91.00%,59.70
2023-24,3/26/2024,202403260COL,Justus Annunen,annunju01,COL,vs,MTL,L,2,27,25,93.00%,59.32
2023-24,3/30/2024,202403300COL,Justus Annunen,annunju01,COL,vs,NSH,W,0,22,22,100.00%,39.00
2023-24,4/1/2024,202404010CBJ,Justus Annunen,annunju01,COL,@,CBJ,L,3,24,21,88.00%,58.48
2023-24,4/4/2024,202404040MIN,Justus Annunen,annunju01,COL,@,MIN,W,2,46,44,96.00%,60.00
2023-24,4/13/2024,202404130COL,Justus Annunen,annunju01,COL,vs,WPG,L,3,11,8,73.00%,44.72
2023-24,4/18/2024,202404180COL,Justus Annunen,annunju01,COL,vs,EDM,W,1,26,25,96.00%,60.00
2023-24,1/15/2024,202401150MIN,Kenneth Appleby,appleke01,NYI,@,MIN,L,2,8,6,75.00%,20.00
2023-24,12/27/2023,202312270NSH,Yaroslav Askarov,askarya01,NSH,vs,CAR,L,0,6,6,100.00%,16.67
2023-24,12/30/2023,202312300WSH,Yaroslav Askarov,askarya01,NSH,@,WSH,W,2,29,27,93.00%,65.00
2023-24,10/12/2023,202310120DAL,Jordan Binnington,binnijo01,STL,@,DAL,L-SO,1,34,33,97.00%,64.83
2023-24,10/14/2023,202310140STL,Jordan Binnington,binnijo01,STL,vs,SEA,W,1,31,30,97.00%,65.00
2023-24,10/21/2023,202310210STL,Jordan Binnington,binnijo01,STL,vs,PIT,W,2,33,31,94.00%,60.00
2023-24,10/24/2023,202310240WPG,Jordan Binnington,binnijo01,STL,@,WPG,L,3,29,26,90.00%,58.97
2023-24,10/27/2023,202310270VAN,Jordan Binnington,binnijo01,STL,@,VAN,L,5,35,30,86.00%,60.00
2023-24,11/1/2023,202311010COL,Jordan Binnington,binnijo01,STL,@,COL,L,4,28,24,86.00%,59.53
2023-24,11/3/2023,202311030STL,Jordan Binnington,binnijo01,STL,vs,NJD,W,1,34,33,97.00%,60.00
2023-24,11/7/2023,202311070STL,Jordan Binnington,binnijo01,STL,vs,WPG,L,4,36,32,89.00%,59.38
2023-24,11/11/2023,202311110COL,Jordan Binnington,binnijo01,STL,@,COL,W,2,38,36,95.00%,60.00
2023-24,11/14/2023,202311140STL,Jordan Binnington,binnijo01,STL,vs,TBL,W,0,30,30,100.00%,60.00
2023-24,11/16/2023,202311160SJS,Jordan Binnington,binnijo01,STL,@,SJS,L,1,14,13,93.00%,36.58
2023-24,11/18/2023,202311180LAK,Jordan Binnington,binnijo01,STL,@,LAK,L,5,31,26,84.00%,59.87
2023-24,11/22/2023,202311220ARI,Jordan Binnington,binnijo01,STL,@,ARI,W,5,13,8,62.00%,28.00
2023-24,11/24/2023,202311240STL,Jordan Binnington,binnijo01,STL,vs,NSH,L,4,20,16,80.00%,37.08
2023-24,11/26/2023,202311260CHI,Jordan Binnington,binnijo01,STL,@,CHI,W,2,33,31,94.00%,60.00
2023-24,11/28/2023,202311280MIN,Jordan Binnington,binnijo01,STL,@,MIN,L,3,37,34,92.00%,57.40
2023-24,11/30/2023,202311300STL,Jordan Binnington,binnijo01,STL,vs,BUF,W,4,46,42,91.00%,60.00
2023-24,12/4/2023,202312040VEG,Jordan Binnington,binnijo01,STL,@,VEG,W,1,34,33,97.00%,60.63
2023-24,12/6/2023,202312060STL,Jordan Binnington,binnijo01,STL,vs,VEG,L,5,48,43,90.00%,56.35
2023-24,12/9/2023,202312090CHI,Jordan Binnington,binnijo01,STL,@,CHI,L,3,24,21,88.00%,56.27
2023-24,12/12/2023,202312120STL,Jordan Binnington,binnijo01,STL,vs,DET,L,5,31,26,84.00%,59.62
2023-24,12/14/2023,202312140STL,Jordan Binnington,binnijo01,STL,vs,OTT,W,2,34,32,94.00%,59.82
2023-24,12/16/2023,202312160STL,Jordan Binnington,binnijo01,STL,vs,DAL,W,3,23,20,87.00%,60.18
2023-24,12/19/2023,202312190TBL,Jordan Binnington,binnijo01,STL,@,TBL,L,5,23,18,78.00%,32.22
2023-24,12/23/2023,202312230STL,Jordan Binnington,binnijo01,STL,vs,CHI,W,5,20,15,75.00%,60.00
2023-24,12/29/2023,202312290STL,Jordan Binnington,binnijo01,STL,vs,COL,L,2,23,21,91.00%,58.83
2023-24,1/4/2024,202401040STL,Jordan Binnington,binnijo01,STL,vs,VAN,W,1,26,25,96.00%,60.00
2023-24,1/6/2024,202401060CAR,Jordan Binnington,binnijo01,STL,@,CAR,W,1,30,29,97.00%,64.97
2023-24,1/11/2024,202401110STL,Jordan Binnington,binnijo01,STL,vs,NYR,W,2,43,41,95.00%,59.77
2023-24,1/13/2024,202401130STL,Jordan Binnington,binnijo01,STL,vs,BOS,L-OT,4,35,31,89.00%,61.17
2023-24,1/18/2024,202401180WSH,Jordan Binnington,binnijo01,STL,@,WSH,L,4,25,21,84.00%,57.73
2023-24,1/20/2024,202401200STL,Jordan Binnington,binnijo01,STL,vs,WSH,W,0,18,18,100.00%,59.43
2023-24,1/23/2024,202401230CGY,Jordan Binnington,binnijo01,STL,@,CGY,W,3,35,32,91.00%,60.00
2023-24,1/26/2024,202401260SEA,Jordan Binnington,binnijo01,STL,@,SEA,W,3,36,33,92.00%,63.02
2023-24,1/30/2024,202401300STL,Jordan Binnington,binnijo01,STL,vs,CBJ,L,1,22,21,96.00%,58.17
2023-24,2/11/2024,202402110MTL,Jordan Binnington,binnijo01,STL,@,MTL,W,2,32,30,94.00%,60.00
2023-24,2/13/2024,202402130TOR,Jordan Binnington,binnijo01,STL,@,TOR,L,3,31,28,90.00%,59.13
2023-24,2/15/2024,202402150STL,Jordan Binnington,binnijo01,STL,vs,EDM,W,3,38,35,92.00%,59.67
2023-24,2/17/2024,202402170STL,Jordan Binnington,binnijo01,STL,vs,NSH,L,4,32,28,88.00%,57.83
2023-24,2/22/2024,202402220STL,Jordan Binnington,binnijo01,STL,vs,NYI,W,0,38,38,100.00%,60.00
2023-24,2/24/2024,202402240DET,Jordan Binnington,binnijo01,STL,@,DET,L,4,14,10,71.00%,19.87
2023-24,2/28/2024,202402280EDM,Jordan Binnington,binnijo01,STL,@,EDM,L-OT,3,36,33,92.00%,64.20
2023-24,3/2/2024,202403020STL,Jordan Binnington,binnijo01,STL,vs,MIN,W,1,22,21,96.00%,60.00
2023-24,3/4/2024,202403040PHI,Jordan Binnington,binnijo01,STL,@,PHI,W,1,42,41,98.00%,65.00
2023-24,3/7/2024,202403070NJD,Jordan Binnington,binnijo01,STL,@,NJD,L,3,32,29,91.00%,57.97
2023-24,3/9/2024,202403090NYR,Jordan Binnington,binnijo01,STL,@,NYR,L,4,39,35,90.00%,60.00
2023-24,3/13/2024,202403130STL,Jordan Binnington,binnijo01,STL,vs,LAK,W,1,41,40,98.00%,60.00
2023-24,3/16/2024,202403160STL,Jordan Binnington,binnijo01,STL,vs,MIN,W,2,24,22,92.00%,65.00
2023-24,3/19/2024,202403190STL,Jordan Binnington,binnijo01,STL,vs,COL,L,4,35,31,89.00%,58.25
2023-24,3/23/2024,202403230MIN,Jordan Binnington,binnijo01,STL,@,MIN,W,4,34,30,88.00%,62.08
2023-24,3/25/2024,202403250STL,Jordan Binnington,binnijo01,STL,vs,VEG,L-OT,2,34,32,94.00%,60.82
2023-24,3/28/2024,202403280STL,Jordan Binnington,binnijo01,STL,vs,CGY,W,3,28,25,89.00%,60.00
2023-24,4/1/2024,202404010STL,Jordan Binnington,binnijo01,STL,vs,EDM,W,2,38,36,95.00%,62.00
2023-24,4/4/2024,202404040NSH,Jordan Binnington,binnijo01,STL,@,NSH,L,4,29,25,86.00%,55.60
2023-24,4/7/2024,202404070ANA,Jordan Binnington,binnijo01,STL,@,ANA,W,5,38,33,87.00%,65.00
2023-24,4/12/2024,202404120STL,Jordan Binnington,binnijo01,STL,vs,CAR,L,3,40,37,93.00%,59.25
2023-24,4/17/2024,202404170DAL,Jordan Binnington,binnijo01,STL,@,DAL,L-SO,1,37,36,97.00%,65.00
2023-24,10/14/2023,202310140SJS,Mackenzie Blackwood,blackma01,SJS,vs,COL,L-SO,1,52,51,98.00%,65.00
